Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
120.20	12.265	29.065	0.034405	-3.1616	-3.1194	69.838	18.271	53.349	582.39	-0.0030160	109.71	0.082868	0.0050205	1.5225	0.65680	1.1271	1.9327	111.87	15.578	34.625	185.10	1.7606	10.565	0.0091892
120.30	12.333	29.044	0.034431	-3.1565	-3.1140	69.881	18.265	53.412	581.49	-0.0027887	109.44	0.082738	0.0050000	1.5311	0.65313	1.1266	1.9320	111.83	15.591	34.708	185.11	1.7575	10.578	0.0092067
120.40	12.400	29.022	0.034457	-3.1514	-3.1087	69.923	18.260	53.476	580.59	-0.0025602	109.18	0.082608	0.0049794	1.5397	0.64949	1.1260	1.9314	111.78	15.603	34.791	185.12	1.7544	10.591	0.0092243
120.50	12.469	29.000	0.034483	-3.1463	-3.1033	69.966	18.255	53.539	579.69	-0.0023305	108.92	0.082479	0.0049589	1.5483	0.64587	1.1254	1.9307	111.74	15.616	34.875	185.13	1.7514	10.604	0.0092419
120.60	12.537	28.978	0.034508	-3.1412	-3.0979	70.009	18.249	53.604	578.79	-0.0020994	108.65	0.082349	0.0049383	1.5570	0.64228	1.1248	1.9300	111.70	15.628	34.960	185.14	1.7483	10.617	0.0092597
120.70	12.606	28.957	0.034534	-3.1361	-3.0926	70.051	18.244	53.668	577.88	-0.0018670	108.39	0.082220	0.0049178	1.5657	0.63871	1.1241	1.9293	111.66	15.641	35.045	185.15	1.7452	10.630	0.0092775
120.80	12.675	28.935	0.034560	-3.1310	-3.0872	70.094	18.239	53.733	576.98	-0.0016333	108.13	0.082090	0.0048973	1.5744	0.63516	1.1235	1.9286	111.61	15.653	35.131	185.16	1.7422	10.643	0.0092954
120.90	12.744	28.913	0.034586	-3.1259	-3.0818	70.136	18.234	53.799	576.07	-0.0013983	107.87	0.081961	0.0048769	1.5832	0.63163	1.1229	1.9279	111.57	15.666	35.217	185.16	1.7391	10.657	0.0093134
121.00	12.814	28.891	0.034613	-3.1208	-3.0764	70.179	18.229	53.865	575.16	-0.0011619	107.61	0.081832	0.0048564	1.5920	0.62813	1.1223	1.9271	111.53	15.679	35.305	185.17	1.7361	10.670	0.0093315
121.10	12.884	28.869	0.034639	-3.1156	-3.0710	70.221	18.224	53.932	574.25	-0.00092422	107.34	0.081703	0.0048360	1.6009	0.62464	1.1216	1.9264	111.49	15.692	35.392	185.18	1.7330	10.683	0.0093497
121.20	12.954	28.847	0.034665	-3.1105	-3.0656	70.264	18.219	53.998	573.34	-0.00068516	107.08	0.081574	0.0048155	1.6098	0.62118	1.1210	1.9256	111.45	15.705	35.480	185.18	1.7300	10.696	0.0093680
121.30	13.024	28.825	0.034692	-3.1054	-3.0602	70.306	18.214	54.066	572.43	-0.00044474	106.83	0.081445	0.0047951	1.6188	0.61775	1.1203	1.9249	111.40	15.718	35.569	185.19	1.7270	10.710	0.0093863
121.40	13.095	28.803	0.034718	-3.1003	-3.0548	70.349	18.209	54.134	571.52	-0.00020293	106.57	0.081316	0.0047747	1.6278	0.61433	1.1196	1.9241	111.36	15.731	35.659	185.20	1.7239	10.723	0.0094048
121.50	13.165	28.781	0.034745	-3.0951	-3.0494	70.392	18.204	54.202	570.60	4.0259e-05	106.31	0.081187	0.0047544	1.6368	0.61093	1.1190	1.9233	111.32	15.744	35.749	185.20	1.7209	10.736	0.0094233
121.60	13.237	28.759	0.034771	-3.0900	-3.0440	70.434	18.199	54.271	569.69	0.00028485	106.05	0.081058	0.0047340	1.6459	0.60756	1.1183	1.9225	111.28	15.757	35.840	185.21	1.7179	10.750	0.0094419
121.70	13.308	28.737	0.034798	-3.0848	-3.0385	70.477	18.194	54.340	568.77	0.00053085	105.79	0.080929	0.0047137	1.6551	0.60421	1.1176	1.9217	111.23	15.770	35.932	185.22	1.7148	10.763	0.0094606
121.80	13.380	28.715	0.034825	-3.0797	-3.0331	70.519	18.189	54.410	567.86	0.00077827	105.54	0.080800	0.0046934	1.6642	0.60088	1.1169	1.9208	111.19	15.783	36.024	185.22	1.7118	10.777	0.0094794
121.90	13.452	28.693	0.034852	-3.0745	-3.0277	70.562	18.185	54.480	566.94	0.0010271	105.28	0.080671	0.0046731	1.6735	0.59757	1.1162	1.9200	111.15	15.796	36.117	185.23	1.7088	10.790	0.0094983
122.00	13.524	28.670	0.034879	-3.0694	-3.0222	70.605	18.180	54.551	566.02	0.0012774	105.02	0.080543	0.0046528	1.6827	0.59428	1.1155	1.9192	111.11	15.810	36.210	185.23	1.7058	10.804	0.0095173
122.10	13.597	28.648	0.034906	-3.0642	-3.0168	70.647	18.175	54.623	565.10	0.0015292	104.77	0.080414	0.0046325	1.6920	0.59101	1.1147	1.9183	111.07	15.823	36.305	185.24	1.7028	10.818	0.0095364
122.20	13.669	28.626	0.034933	-3.0591	-3.0113	70.690	18.170	54.694	564.17	0.0017824	104.51	0.080286	0.0046123	1.7014	0.58776	1.1140	1.9174	111.02	15.836	36.400	185.24	1.6998	10.831	0.0095556
122.30	13.742	28.603	0.034961	-3.0539	-3.0058	70.732	18.166	54.767	563.25	0.0020371	104.26	0.080157	0.0045920	1.7108	0.58453	1.1133	1.9166	110.98	15.850	36.495	185.25	1.6968	10.845	0.0095749
122.40	13.816	28.581	0.034988	-3.0487	-3.0004	70.775	18.161	54.840	562.33	0.0022933	104.01	0.080029	0.0045718	1.7202	0.58132	1.1125	1.9157	110.94	15.863	36.592	185.25	1.6938	10.859	0.0095943
122.50	13.890	28.559	0.035016	-3.0435	-2.9949	70.818	18.157	54.913	561.40	0.0025510	103.75	0.079900	0.0045516	1.7297	0.57813	1.1118	1.9148	110.90	15.877	36.689	185.25	1.6908	10.872	0.0096138
122.60	13.963	28.536	0.035043	-3.0383	-2.9894	70.860	18.152	54.987	560.47	0.0028102	103.50	0.079772	0.0045315	1.7392	0.57496	1.1110	1.9139	110.85	15.890	36.787	185.26	1.6878	10.886	0.0096334
122.70	14.038	28.514	0.035071	-3.0331	-2.9839	70.903	18.148	55.062	559.54	0.0030709	103.25	0.079644	0.0045113	1.7488	0.57181	1.1102	1.9129	110.81	15.904	36.885	185.26	1.6848	10.900	0.0096531
122.80	14.112	28.491	0.035099	-3.0279	-2.9784	70.946	18.143	55.137	558.62	0.0033332	103.00	0.079516	0.0044912	1.7584	0.56868	1.1095	1.9120	110.77	15.918	36.985	185.27	1.6818	10.914	0.0096729
122.90	14.187	28.468	0.035127	-3.0227	-2.9729	70.988	18.139	55.212	557.68	0.0035970	102.74	0.079388	0.0044710	1.7681	0.56557	1.1087	1.9110	110.73	15.932	37.085	185.27	1.6788	10.928	0.0096928
123.00	14.262	28.446	0.035155	-3.0175	-2.9674	71.031	18.134	55.288	556.75	0.0038624	102.49	0.079260	0.0044509	1.7778	0.56248	1.1079	1.9101	110.69	15.945	37.186	185.27	1.6758	10.942	0.0097128
123.10	14.337	28.423	0.035183	-3.0123	-2.9619	71.074	18.130	55.365	555.82	0.0041294	102.24	0.079132	0.0044309	1.7876	0.55941	1.1071	1.9091	110.64	15.959	37.287	185.27	1.6728	10.955	0.0097329
123.20	14.413	28.400	0.035211	-3.0071	-2.9564	71.116	18.126	55.442	554.88	0.0043980	101.99	0.079004	0.0044108	1.7974	0.55635	1.1063	1.9081	110.60	15.973	37.390	185.28	1.6699	10.969	0.0097531
123.30	14.489	28.377	0.035239	-3.0019	-2.9508	71.159	18.122	55.520	553.95	0.0046681	101.74	0.078876	0.0043907	1.8073	0.55332	1.1054	1.9071	110.56	15.987	37.493	185.28	1.6669	10.984	0.0097734
123.40	14.565	28.355	0.035268	-2.9967	-2.9453	71.202	18.117	55.599	553.01	0.0049399	101.49	0.078748	0.0043707	1.8172	0.55030	1.1046	1.9061	110.52	16.001	37.597	185.28	1.6639	10.998	0.0097938
123.50	14.642	28.332	0.035296	-2.9914	-2.9398	71.244	18.113	55.678	552.07	0.0052133	101.25	0.078620	0.0043507	1.8271	0.54730	1.1038	1.9051	110.47	16.015	37.702	185.28	1.6609	11.012	0.0098144
123.60	14.718	28.309	0.035325	-2.9862	-2.9342	71.287	18.109	55.757	551.13	0.0054884	101.00	0.078493	0.0043307	1.8371	0.54432	1.1029	1.9041	110.43	16.030	37.807	185.28	1.6580	11.026	0.0098350
123.70	14.795	28.286	0.035353	-2.9810	-2.9287	71.330	18.105	55.838	550.19	0.0057651	100.75	0.078365	0.0043107	1.8472	0.54136	1.1021	1.9030	110.39	16.044	37.914	185.28	1.6550	11.040	0.0098558
123.80	14.873	28.263	0.035382	-2.9757	-2.9231	71.373	18.101	55.918	549.25	0.0060435	100.50	0.078237	0.0042908	1.8573	0.53842	1.1012	1.9020	110.35	16.058	38.021	185.28	1.6521	11.054	0.0098766
123.90	14.950	28.240	0.035411	-2.9705	-2.9175	71.415	18.097	56.000	548.31	0.0063236	100.25	0.078110	0.0042708	1.8675	0.53549	1.1003	1.9009	110.30	16.072	38.129	185.29	1.6491	11.069	0.0098976
124.00	15.028	28.217	0.035440	-2.9652	-2.9119	71.458	18.093	56.082	547.36	0.0066053	100.01	0.077983	0.0042509	1.8777	0.53258	1.0994	1.8998	110.26	16.087	38.238	185.29	1.6461	11.083	0.0099187
124.10	15.106	28.194	0.035469	-2.9599	-2.9064	71.501	18.089	56.165	546.41	0.0068888	99.762	0.077855	0.0042310	1.8879	0.52969	1.0985	1.8987	110.22	16.101	38.348	185.29	1.6432	11.097	0.0099399
124.20	15.185	28.170	0.035498	-2.9547	-2.9008	71.544	18.085	56.248	545.47	0.0071741	99.516	0.077728	0.0042111	1.8982	0.52682	1.0976	1.8976	110.18	16.116	38.459	185.29	1.6402	11.112	0.0099613
124.30	15.264	28.147	0.035527	-2.9494	-2.8952	71.586	18.081	56.332	544.52	0.0074610	99.271	0.077601	0.0041913	1.9085	0.52396	1.0967	1.8965	110.14	16.130	38.570	185.29	1.6373	11.126	0.0099827
124.40	15.343	28.124	0.035557	-2.9441	-2.8896	71.629	18.077	56.417	543.57	0.0077498	99.026	0.077473	0.0041714	1.9189	0.52112	1.0958	1.8953	110.09	16.145	38.683	185.28	1.6344	11.141	0.010004
124.50	15.422	28.101	0.035586	-2.9388	-2.8840	71.672	18.074	56.502	542.61	0.0080403	98.782	0.077346	0.0041516	1.9294	0.51830	1.0949	1.8942	110.05	16.160	38.796	185.28	1.6314	11.155	0.010026
124.60	15.502	28.077	0.035616	-2.9336	-2.8783	71.715	18.070	56.588	541.66	0.0083326	98.538	0.077219	0.0041318	1.9399	0.51549	1.0939	1.8930	110.01	16.175	38.911	185.28	1.6285	11.170	0.010048
124.70	15.582	28.054	0.035646	-2.9283	-2.8727	71.758	18.066	56.674	540.71	0.0086267	98.294	0.077092	0.0041120	1.9505	0.51270	1.0930	1.8919	109.97	16.189	39.026	185.28	1.6255	11.184	0.010070
124.80	15.662	28.030	0.035676	-2.9230	-2.8671	71.800	18.063	56.762	539.75	0.0089226	98.051	0.076965	0.0040922	1.9611	0.50993	1.0920	1.8907	109.92	16.204	39.142	185.28	1.6226	11.199	0.010092
124.90	15.742	28.007	0.035705	-2.9177	-2.8614	71.843	18.059	56.850	538.79	0.0092203	97.808	0.076838	0.0040725	1.9717	0.50717	1.0911	1.8895	109.88	16.219	39.259	185.28	1.6197	11.214	0.010114
125.00	15.823	27.983	0.035735	-2.9123	-2.8558	71.886	18.056	56.938	537.83	0.0095199	97.565	0.076711	0.0040527	1.9824	0.50443	1.0901	1.8883	109.84	16.234	39.377	185.28	1.6167	11.228	0.010136
125.10	15.904	27.960	0.035766	-2.9070	-2.8501	71.929	18.052	57.028	536.87	0.0098214	97.323	0.076584	0.0040330	1.9932	0.50171	1.0891	1.8870	109.80	16.249	39.496	185.27	1.6138	11.243	0.010159
125.20	15.986	27.936	0.035796	-2.9017	-2.8445	71.972	18.049	57.118	535.91	0.010125	97.081	0.076458	0.0040133	2.0040	0.49900	1.0881	1.8858	109.75	16.264	39.616	185.27	1.6109	11.258	0.010181
125.30	16.068	27.912	0.035826	-2.8964	-2.8388	72.015	18.045	57.208	534.95	0.010430	96.840	0.076331	0.0039937	2.0149	0.49631	1.0871	1.8846	109.71	16.280	39.737	185.27	1.6079	11.273	0.010204
125.40	16.150	27.889	0.035857	-2.8911	-2.8331	72.058	18.042	57.300	533.98	0.010737	96.599	0.076204	0.0039740	2.0258	0.49363	1.0861	1.8833	109.67	16.295	39.859	185.27	1.6050	11.288	0.010227
125.50	16.232	27.865	0.035887	-2.8857	-2.8275	72.101	18.039	57.392	533.02	0.011046	96.358	0.076078	0.0039544	2.0368	0.49097	1.0851	1.8820	109.63	16.310	39.982	185.26	1.6021	11.303	0.010250
125.60	16.314	27.841	0.035918	-2.8804	-2.8218	72.144	18.035	57.485	532.05	0.011357	96.118	0.075951	0.0039348	2.0478	0.48833	1.0840	1.8807	109.58	16.326	40.106	185.26	1.5992	11.318	0.010273
125.70	16.397	27.817	0.035949	-2.8750	-2.8161	72.187	18.032	57.579	531.08	0.011671	95.878	0.075825	0.0039152	2.0589	0.48570	1.0830	1.8794	109.54	16.341	40.231	185.25	1.5963	11.333	0.010296
125.80	16.481	27.793	0.035980	-2.8697	-2.8104	72.230	18.029	57.673	530.11	0.011986	95.639	0.075698	0.0038956	2.0700	0.48309	1.0820	1.8781	109.50	16.357	40.357	185.25	1.5933	11.348	0.010320
125.90	16.564	27.769	0.036011	-2.8643	-2.8047	72.273	18.026	57.769	529.14	0.012303	95.399	0.075572	0.0038760	2.0812	0.48049	1.0809	1.8768	109.46	16.372	40.485	185.25	1.5904	11.363	0.010343
126.00	16.648	27.745	0.036042	-2.8589	-2.7989	72.316	18.023	57.865	528.16	0.012622	95.161	0.075445	0.0038565	2.0925	0.47791	1.0798	1.8754	109.41	16.388	40.613	185.24	1.5875	11.378	0.010367
126.10	16.732	27.721	0.036074	-2.8536	-2.7932	72.359	18.020	57.962	527.19	0.012943	94.922	0.075319	0.0038370	2.1038	0.47534	1.0787	1.8741	109.37	16.404	40.742	185.24	1.5846	11.394	0.010391
126.20	16.816	27.697	0.036105	-2.8482	-2.7875	72.402	18.017	58.059	526.21	0.013266	94.684	0.075193	0.0038175	2.1151	0.47278	1.0776	1.8727	109.33	16.420	40.873	185.23	1.5817	11.409	0.010414
126.30	16.901	27.673	0.036137	-2.8428	-2.7817	72.445	18.014	58.158	525.23	0.013591	94.446	0.075067	0.0037980	2.1265	0.47025	1.0765	1.8713	109.29	16.436	41.004	185.23	1.5788	11.424	0.010439
126.40	16.986	27.649	0.036168	-2.8374	-2.7760	72.488	18.011	58.257	524.26	0.013919	94.209	0.074941	0.0037785	2.1380	0.46772	1.0754	1.8699	109.24	16.451	41.137	185.22	1.5759	11.440	0.010463
126.50	17.071	27.624	0.036200	-2.8320	-2.7702	72.531	18.008	58.357	523.27	0.014248	93.972	0.074815	0.0037591	2.1496	0.46521	1.0743	1.8685	109.20	16.468	41.271	185.21	1.5730	11.455	0.010487
126.60	17.157	27.600	0.036232	-2.8266	-2.7644	72.574	18.005	58.458	522.29	0.014580	93.735	0.074688	0.0037397	2.1611	0.46272	1.0732	1.8671	109.16	16.484	41.406	185.21	1.5701	11.471	0.010512
126.70	17.243	27.576	0.036264	-2.8212	-2.7587	72.617	18.003	58.560	521.31	0.014914	93.498	0.074563	0.0037203	2.1728	0.46024	1.0720	1.8656	109.12	16.500	41.542	185.20	1.5672	11.486	0.010536
126.80	17.329	27.551	0.036296	-2.8158	-2.7529	72.661	18.000	58.662	520.32	0.015250	93.262	0.074437	0.0037009	2.1845	0.45777	1.0709	1.8642	109.07	16.516	41.679	185.20	1.5643	11.502	0.010561
126.90	17.416	27.527	0.036329	-2.8104	-2.7471	72.704	17.997	58.766	519.33	0.015588	93.027	0.074311	0.0036816	2.1963	0.45532	1.0697	1.8627	109.03	16.532	41.818	185.19	1.5614	11.518	0.010586
127.00	17.503	27.502	0.036361	-2.8049	-2.7413	72.747	17.995	58.870	518.34	0.015928	92.791	0.074185	0.0036622	2.2081	0.45288	1.0685	1.8612	108.99	16.549	41.958	185.18	1.5585	11.533	0.010611
127.10	17.590	27.477	0.036394	-2.7995	-2.7355	72.790	17.992	58.975	517.35	0.016271	92.556	0.074059	0.0036429	2.2200	0.45046	1.0674	1.8597	108.94	16.565	42.099	185.17	1.5556	11.549	0.010637
127.20	17.677	27.453	0.036426	-2.7940	-2.7297	72.834	17.990	59.082	516.36	0.016616	92.321	0.073933	0.0036236	2.2319	0.44805	1.0662	1.8582	108.90	16.582	42.241	185.17	1.5527	11.565	0.010662
127.30	17.765	27.428	0.036459	-2.7886	-2.7238	72.877	17.987	59.189	515.37	0.016963	92.087	0.073808	0.0036043	2.2439	0.44565	1.0650	1.8567	108.86	16.598	42.385	185.16	1.5498	11.581	0.010688
127.40	17.853	27.403	0.036492	-2.7831	-2.7180	72.920	17.985	59.297	514.37	0.017312	91.852	0.073682	0.0035851	2.2560	0.44327	1.0638	1.8551	108.82	16.615	42.529	185.15	1.5469	11.597	0.010714
127.50	17.942	27.378	0.036525	-2.7777	-2.7122	72.963	17.983	59.406	513.38	0.017664	91.618	0.073557	0.0035658	2.2681	0.44090	1.0625	1.8536	108.77	16.632	42.676	185.14	1.5440	11.613	0.010739
127.60	18.030	27.353	0.036558	-2.7722	-2.7063	73.007	17.981	59.516	512.38	0.018018	91.385	0.073431	0.0035466	2.2803	0.43854	1.0613	1.8520	108.73	16.649	42.823	185.13	1.5411	11.629	0.010766
127.70	18.119	27.329	0.036592	-2.7667	-2.7004	73.050	17.978	59.626	511.38	0.018375	91.151	0.073306	0.0035274	2.2925	0.43620	1.0600	1.8504	108.69	16.665	42.972	185.12	1.5382	11.645	0.010792
127.80	18.209	27.304	0.036625	-2.7613	-2.6946	73.094	17.976	59.738	510.37	0.018734	90.918	0.073180	0.0035083	2.3049	0.43387	1.0588	1.8488	108.64	16.682	43.122	185.11	1.5353	11.661	0.010818
127.90	18.298	27.278	0.036659	-2.7558	-2.6887	73.137	17.974	59.851	509.37	0.019095	90.686	0.073055	0.0034891	2.3172	0.43155	1.0575	1.8472	108.60	16.699	43.273	185.11	1.5324	11.677	0.010845
128.00	18.388	27.253	0.036693	-2.7503	-2.6828	73.180	17.972	59.965	508.36	0.019459	90.453	0.072930	0.0034700	2.3297	0.42924	1.0562	1.8455	108.56	16.717	43.426	185.10	1.5295	11.694	0.010872
128.10	18.479	27.228	0.036727	-2.7448	-2.6769	73.224	17.970	60.080	507.36	0.019825	90.221	0.072804	0.0034509	2.3422	0.42695	1.0549	1.8439	108.51	16.734	43.581	185.09	1.5266	11.710	0.010899
128.20	18.569	27.203	0.036761	-2.7393	-2.6710	73.267	17.968	60.195	506.35	0.020194	89.989	0.072679	0.0034318	2.3547	0.42468	1.0536	1.8422	108.47	16.751	43.736	185.08	1.5237	11.726	0.010926
128.30	18.660	27.178	0.036795	-2.7337	-2.6651	73.311	17.966	60.312	505.34	0.020565	89.757	0.072554	0.0034127	2.3674	0.42241	1.0523	1.8405	108.43	16.768	43.893	185.06	1.5209	11.743	0.010953
128.40	18.751	27.152	0.036829	-2.7282	-2.6592	73.354	17.965	60.430	504.33	0.020939	89.526	0.072429	0.0033937	2.3801	0.42016	1.0510	1.8388	108.39	16.786	44.052	185.05	1.5180	11.759	0.010981
128.50	18.843	27.127	0.036864	-2.7227	-2.6532	73.398	17.963	60.549	503.31	0.021315	89.295	0.072304	0.0033747	2.3928	0.41792	1.0497	1.8371	108.34	16.803	44.212	185.04	1.5151	11.776	0.011009
128.60	18.935	27.101	0.036898	-2.7172	-2.6473	73.441	17.961	60.669	502.30	0.021694	89.064	0.072179	0.0033557	2.4057	0.41569	1.0483	1.8354	108.30	16.821	44.374	185.03	1.5122	11.793	0.011036
128.70	19.027	27.076	0.036933	-2.7116	-2.6413	73.485	17.960	60.790	501.28	0.022076	88.834	0.072054	0.0033367	2.4185	0.41347	1.0469	1.8336	108.26	16.839	44.537	185.02	1.5093	11.809	0.011064
128.80	19.119	27.050	0.036968	-2.7061	-2.6354	73.529	17.958	60.913	500.26	0.022460	88.603	0.071929	0.0033177	2.4315	0.41127	1.0456	1.8319	108.21	16.856	44.702	185.01	1.5064	11.826	0.011093
128.90	19.212	27.025	0.037003	-2.7005	-2.6294	73.572	17.957	61.036	499.24	0.022847	88.373	0.071804	0.0032988	2.4445	0.40908	1.0442	1.8301	108.17	16.874	44.868	185.00	1.5036	11.843	0.011121
129.00	19.305	26.999	0.037039	-2.6949	-2.6234	73.616	17.955	61.161	498.21	0.023236	88.143	0.071679	0.0032799	2.4576	0.40690	1.0428	1.8283	108.13	16.892	45.036	184.98	1.5007	11.860	0.011150
129.10	19.399	26.973	0.037074	-2.6894	-2.6174	73.660	17.954	61.286	497.19	0.023628	87.914	0.071554	0.0032610	2.4708	0.40473	1.0414	1.8265	108.08	16.910	45.205	184.97	1.4978	11.877	0.011179
129.20	19.493	26.947	0.037110	-2.6838	-2.6114	73.704	17.953	61.413	496.16	0.024023	87.685	0.071429	0.0032421	2.4840	0.40257	1.0400	1.8247	108.04	16.928	45.376	184.96	1.4949	11.894	0.011208
129.30	19.587	26.921	0.037145	-2.6782	-2.6054	73.747	17.951	61.541	495.13	0.024421	87.456	0.071305	0.0032233	2.4973	0.40043	1.0385	1.8228	108.00	16.946	45.549	184.95	1.4920	11.911	0.011237
129.40	19.681	26.895	0.037181	-2.6726	-2.5994	73.791	17.950	61.670	494.10	0.024822	87.227	0.071180	0.0032044	2.5107	0.39830	1.0371	1.8210	107.95	16.965	45.723	184.93	1.4891	11.928	0.011267
129.50	19.776	26.869	0.037217	-2.6670	-2.5934	73.835	17.949	61.801	493.07	0.025225	86.998	0.071055	0.0031856	2.5241	0.39618	1.0356	1.8191	107.91	16.983	45.899	184.92	1.4863	11.945	0.011296
129.60	19.871	26.843	0.037253	-2.6614	-2.5874	73.879	17.948	61.932	492.04	0.025632	86.770	0.070931	0.0031668	2.5376	0.39407	1.0341	1.8172	107.86	17.001	46.077	184.90	1.4834	11.963	0.011326
129.70	19.966	26.817	0.037290	-2.6558	-2.5813	73.923	17.947	62.065	491.00	0.026041	86.542	0.070806	0.0031481	2.5512	0.39197	1.0327	1.8153	107.82	17.020	46.257	184.89	1.4805	11.980	0.011356
129.80	20.062	26.791	0.037326	-2.6501	-2.5753	73.967	17.946	62.200	489.96	0.026453	86.314	0.070681	0.0031293	2.5649	0.38988	1.0312	1.8134	107.78	17.039	46.438	184.88	1.4776	11.997	0.011386
129.90	20.158	26.764	0.037363	-2.6445	-2.5692	74.011	17.945	62.335	488.93	0.026868	86.086	0.070557	0.0031106	2.5786	0.38781	1.0297	1.8114	107.73	17.057	46.621	184.86	1.4747	12.015	0.011417
130.00	20.255	26.738	0.037400	-2.6389	-2.5631	74.055	17.945	62.472	487.88	0.027286	85.859	0.070432	0.0030919	2.5924	0.38574	1.0281	1.8095	107.69	17.076	46.806	184.85	1.4719	12.032	0.011448
130.10	20.351	26.712	0.037437	-2.6332	-2.5570	74.099	17.944	62.610	486.84	0.027707	85.631	0.070308	0.0030733	2.6063	0.38369	1.0266	1.8075	107.65	17.095	46.993	184.83	1.4690	12.050	0.011479
130.20	20.448	26.685	0.037474	-2.6276	-2.5509	74.143	17.943	62.749	485.79	0.028131	85.404	0.070184	0.0030546	2.6202	0.38165	1.0251	1.8055	107.60	17.114	47.182	184.82	1.4661	12.068	0.011510
130.30	20.546	26.659	0.037511	-2.6219	-2.5448	74.187	17.943	62.890	484.75	0.028558	85.177	0.070059	0.0030360	2.6342	0.37962	1.0235	1.8035	107.56	17.133	47.373	184.80	1.4632	12.086	0.011541
130.40	20.643	26.632	0.037549	-2.6162	-2.5387	74.231	17.942	63.033	483.70	0.028989	84.951	0.069935	0.0030174	2.6483	0.37760	1.0219	1.8014	107.51	17.152	47.565	184.78	1.4603	12.103	0.011573
130.50	20.742	26.605	0.037587	-2.6105	-2.5326	74.275	17.942	63.176	482.65	0.029422	84.724	0.069811	0.0029988	2.6625	0.37559	1.0204	1.7994	107.47	17.171	47.760	184.77	1.4575	12.121	0.011605
130.60	20.840	26.578	0.037625	-2.6048	-2.5264	74.319	17.942	63.321	481.59	0.029859	84.498	0.069686	0.0029802	2.6767	0.37359	1.0188	1.7973	107.43	17.190	47.957	184.75	1.4546	12.139	0.011637
130.70	20.939	26.552	0.037663	-2.5991	-2.5203	74.363	17.941	63.468	480.54	0.030298	84.272	0.069562	0.0029617	2.6911	0.37160	1.0171	1.7952	107.38	17.210	48.155	184.73	1.4517	12.157	0.011669
130.80	21.038	26.525	0.037701	-2.5934	-2.5141	74.408	17.941	63.616	479.48	0.030741	84.046	0.069438	0.0029432	2.7055	0.36962	1.0155	1.7931	107.34	17.229	48.356	184.72	1.4488	12.176	0.011702
130.90	21.137	26.498	0.037739	-2.5877	-2.5079	74.452	17.941	63.765	478.42	0.031188	83.821	0.069314	0.0029247	2.7199	0.36765	1.0139	1.7910	107.29	17.249	48.559	184.70	1.4459	12.194	0.011735
131.00	21.237	26.471	0.037778	-2.5820	-2.5018	74.496	17.941	63.916	477.36	0.031637	83.595	0.069190	0.0029062	2.7345	0.36570	1.0122	1.7888	107.25	17.269	48.764	184.68	1.4430	12.212	0.011768
131.10	21.337	26.443	0.037817	-2.5763	-2.4956	74.541	17.941	64.069	476.30	0.032090	83.370	0.069066	0.0028878	2.7491	0.36375	1.0106	1.7867	107.20	17.288	48.971	184.66	1.4401	12.230	0.011801
131.20	21.437	26.416	0.037856	-2.5705	-2.4894	74.585	17.941	64.223	475.23	0.032547	83.145	0.068942	0.0028694	2.7639	0.36181	1.0089	1.7845	107.16	17.308	49.180	184.65	1.4373	12.249	0.011835
131.30	21.538	26.389	0.037895	-2.5648	-2.4831	74.630	17.941	64.378	474.16	0.033007	82.920	0.068817	0.0028510	2.7787	0.35989	1.0072	1.7823	107.12	17.328	49.392	184.63	1.4344	12.267	0.011869
131.40	21.639	26.361	0.037934	-2.5590	-2.4769	74.674	17.942	64.535	473.09	0.033470	82.695	0.068693	0.0028326	2.7935	0.35797	1.0055	1.7801	107.07	17.348	49.606	184.61	1.4315	12.286	0.011903
131.50	21.740	26.334	0.037974	-2.5532	-2.4707	74.719	17.942	64.694	472.02	0.033937	82.470	0.068569	0.0028143	2.8085	0.35606	1.0038	1.7779	107.03	17.368	49.822	184.59	1.4286	12.305	0.011937
131.60	21.842	26.307	0.038013	-2.5474	-2.4644	74.763	17.942	64.855	470.95	0.034407	82.246	0.068446	0.0027959	2.8235	0.35417	1.0020	1.7756	106.98	17.389	50.040	184.57	1.4257	12.324	0.011972
131.70	21.944	26.279	0.038053	-2.5417	-2.4582	74.808	17.943	65.017	469.87	0.034881	82.022	0.068322	0.0027776	2.8387	0.35228	1.0003	1.7733	106.94	17.409	50.261	184.55	1.4228	12.342	0.012007
131.80	22.047	26.251	0.038093	-2.5359	-2.4519	74.853	17.944	65.181	468.79	0.035358	81.798	0.068198	0.0027594	2.8539	0.35040	0.99850	1.7710	106.89	17.430	50.485	184.53	1.4199	12.361	0.012042
