Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
112.70	7.9047	30.596	0.032684	-3.5325	-3.5066	66.638	18.754	49.618	647.09	-0.017011	131.47	0.092766	0.0066092	0.98444	1.0158	1.1518	1.9548	115.10	14.761	29.735	183.80	2.0060	9.6632	0.0080664
112.80	7.9541	30.576	0.032705	-3.5277	-3.5016	66.681	18.746	49.658	646.26	-0.016857	131.16	0.092631	0.0065875	0.99043	1.0097	1.1517	1.9548	115.05	14.770	29.786	183.82	2.0025	9.6744	0.0080793
112.90	8.0037	30.557	0.032726	-3.5228	-3.4966	66.724	18.739	49.697	645.43	-0.016703	130.84	0.092497	0.0065658	0.99644	1.0036	1.1516	1.9549	115.01	14.780	29.838	183.85	1.9990	9.6857	0.0080923
113.00	8.0535	30.538	0.032747	-3.5180	-3.4916	66.767	18.731	49.737	644.60	-0.016549	130.52	0.092363	0.0065440	1.0025	0.99752	1.1515	1.9549	114.97	14.789	29.890	183.87	1.9955	9.6969	0.0081054
113.10	8.1036	30.518	0.032767	-3.5132	-3.4866	66.810	18.724	49.777	643.76	-0.016393	130.20	0.092229	0.0065223	1.0086	0.99152	1.1514	1.9549	114.92	14.799	29.942	183.90	1.9920	9.7082	0.0081185
113.20	8.1539	30.499	0.032788	-3.5083	-3.4816	66.853	18.717	49.817	642.93	-0.016237	129.89	0.092095	0.0065007	1.0147	0.98555	1.1513	1.9549	114.88	14.809	29.995	183.92	1.9886	9.7195	0.0081316
113.30	8.2044	30.479	0.032809	-3.5035	-3.4766	66.896	18.709	49.858	642.10	-0.016080	129.57	0.091961	0.0064790	1.0208	0.97963	1.1511	1.9549	114.83	14.818	30.048	183.95	1.9851	9.7308	0.0081448
113.40	8.2552	30.460	0.032830	-3.4986	-3.4715	66.939	18.702	49.899	641.26	-0.015922	129.26	0.091828	0.0064573	1.0270	0.97376	1.1510	1.9548	114.79	14.828	30.101	183.97	1.9817	9.7422	0.0081581
113.50	8.3061	30.440	0.032851	-3.4938	-3.4665	66.981	18.695	49.939	640.43	-0.015763	128.95	0.091694	0.0064357	1.0331	0.96792	1.1508	1.9548	114.75	14.838	30.155	183.99	1.9782	9.7535	0.0081714
113.60	8.3573	30.421	0.032873	-3.4889	-3.4615	67.024	18.688	49.981	639.59	-0.015604	128.63	0.091560	0.0064141	1.0394	0.96213	1.1507	1.9548	114.70	14.848	30.209	184.02	1.9748	9.7649	0.0081847
113.70	8.4087	30.401	0.032894	-3.4841	-3.4564	67.067	18.681	50.022	638.75	-0.015443	128.32	0.091427	0.0063925	1.0456	0.95638	1.1505	1.9547	114.66	14.858	30.263	184.04	1.9713	9.7763	0.0081981
113.80	8.4604	30.381	0.032915	-3.4792	-3.4514	67.110	18.673	50.064	637.91	-0.015282	128.01	0.091293	0.0063709	1.0519	0.95067	1.1504	1.9547	114.61	14.868	30.317	184.06	1.9679	9.7877	0.0082115
113.90	8.5123	30.362	0.032936	-3.4744	-3.4463	67.153	18.666	50.106	637.08	-0.015120	127.70	0.091159	0.0063493	1.0582	0.94500	1.1502	1.9546	114.57	14.878	30.372	184.09	1.9645	9.7992	0.0082250
114.00	8.5644	30.342	0.032958	-3.4695	-3.4413	67.196	18.659	50.148	636.24	-0.014957	127.39	0.091026	0.0063277	1.0645	0.93937	1.1500	1.9546	114.53	14.888	30.427	184.11	1.9610	9.8106	0.0082385
114.10	8.6167	30.322	0.032979	-3.4646	-3.4362	67.238	18.652	50.190	635.40	-0.014794	127.09	0.090893	0.0063062	1.0709	0.93379	1.1499	1.9545	114.48	14.898	30.483	184.13	1.9576	9.8221	0.0082520
114.20	8.6693	30.303	0.033001	-3.4598	-3.4312	67.281	18.645	50.233	634.55	-0.014630	126.78	0.090759	0.0062846	1.0773	0.92824	1.1497	1.9544	114.44	14.908	30.539	184.15	1.9542	9.8336	0.0082657
114.30	8.7221	30.283	0.033022	-3.4549	-3.4261	67.324	18.638	50.276	633.71	-0.014464	126.47	0.090626	0.0062631	1.0837	0.92273	1.1495	1.9543	114.40	14.918	30.595	184.18	1.9508	9.8451	0.0082793
114.40	8.7751	30.263	0.033044	-3.4500	-3.4210	67.367	18.631	50.319	632.87	-0.014298	126.17	0.090493	0.0062416	1.0902	0.91726	1.1493	1.9542	114.35	14.928	30.652	184.20	1.9474	9.8566	0.0082930
114.50	8.8283	30.243	0.033065	-3.4451	-3.4160	67.410	18.624	50.363	632.03	-0.014131	125.86	0.090360	0.0062201	1.0967	0.91183	1.1491	1.9541	114.31	14.938	30.708	184.22	1.9441	9.8682	0.0083068
114.60	8.8818	30.223	0.033087	-3.4403	-3.4109	67.452	18.617	50.407	631.18	-0.013964	125.56	0.090226	0.0061986	1.1032	0.90644	1.1489	1.9540	114.27	14.948	30.766	184.24	1.9407	9.8797	0.0083206
114.70	8.9355	30.203	0.033109	-3.4354	-3.4058	67.495	18.610	50.451	630.34	-0.013795	125.26	0.090093	0.0061772	1.1098	0.90109	1.1487	1.9538	114.22	14.958	30.823	184.26	1.9373	9.8913	0.0083345
114.80	8.9895	30.184	0.033131	-3.4305	-3.4007	67.538	18.603	50.495	629.49	-0.013625	124.95	0.089960	0.0061557	1.1164	0.89577	1.1484	1.9537	114.18	14.969	30.881	184.28	1.9340	9.9030	0.0083484
114.90	9.0437	30.164	0.033152	-3.4256	-3.3956	67.581	18.596	50.539	628.64	-0.013455	124.65	0.089827	0.0061343	1.1230	0.89049	1.1482	1.9536	114.14	14.979	30.939	184.31	1.9306	9.9146	0.0083624
115.00	9.0981	30.144	0.033174	-3.4207	-3.3905	67.623	18.589	50.584	627.79	-0.013284	124.35	0.089695	0.0061129	1.1296	0.88525	1.1480	1.9534	114.09	14.989	30.998	184.33	1.9272	9.9262	0.0083764
115.10	9.1528	30.124	0.033196	-3.4158	-3.3854	67.666	18.582	50.629	626.94	-0.013112	124.05	0.089562	0.0060915	1.1363	0.88005	1.1477	1.9532	114.05	14.999	31.057	184.35	1.9239	9.9379	0.0083905
115.20	9.2076	30.104	0.033218	-3.4109	-3.3803	67.709	18.576	50.675	626.09	-0.012939	123.75	0.089429	0.0060701	1.1430	0.87488	1.1475	1.9531	114.01	15.010	31.116	184.37	1.9206	9.9496	0.0084046
115.30	9.2628	30.084	0.033241	-3.4060	-3.3752	67.752	18.569	50.720	625.24	-0.012765	123.46	0.089296	0.0060487	1.1498	0.86975	1.1473	1.9529	113.96	15.020	31.176	184.39	1.9172	9.9613	0.0084188
