Run_ID,File_Location,Clone_Run_ID,Clone_Frame_ID,N_Cells,Therm_kT,Therm_Seed,Density_Start,Density_End,BoxLength_Start,BoxLength_End,dt,Nsteps,This_LJ_Time,Cumulative_LJ_Time,Ensemble,T_Set,P_Set,LJ_r_cut,LJ_r_on,LJ_Mode,Phase_Separation_Status,Phase_Separation_Method,Phase_Separation_Method_Version,rho_liquid,rho_liquid_unc,rho_gas,rho_gas_unc,V_liquid,V_liquid_unc,V_gas,V_gas_unc,Phase_Fit_Status,Phase_Fit_Method,Phase_Fit_Method_Version,Summary_Start_Step,Summary_End_Step,Summary_Num_Samples,Pressure_Mean,Pressure_Std,Pressure_SEM,PE_Per_Particle_Mean,PE_Per_Particle_Std,PE_Per_Particle_SEM,Num_Frames
20260915173225,Thermalization/20260915173225,,,40,0.86,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.715764877281007,0.0003912827774992405,0.020710697491092875,0.0002601497399054013,352972.6386230474,1591.3662352465446,159027.36137695258,1591.3662352465442,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.04042720013795433,0.04641544809436423,0.004641544809436423,-4.232089016562669,0.22928815202280192,0.02292881520228019,6
20260915173427,Thermalization/20260915173427,,,40,0.86,1,0.5200000000000005,0.5200000000000005,78.96092134994282,78.96092134994282,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7163055424339366,0.0003653515183227108,0.020358564162937003,0.0002718796461460824,353576.61666439584,1498.3513755562062,138731.09231400397,1498.3513755562062,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.043015030594969764,0.05122441395017283,0.005122441395017283,-4.268052938415877,0.21688427025174242,0.02168842702517424,6
20260915173627,Thermalization/20260915173627,,,40,0.86,1,0.5400000000000005,0.5400000000000005,77.97380635234308,77.97380635234308,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7136562011596174,0.00037087251647906146,0.020874412795728818,0.0003295711877470901,354335.1098211982,1373.0332877656244,119738.99956923566,1373.0332877656244,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05522218639113885,0.05283851338928318,0.005283851338928318,-4.279425978773624,0.19173203265628702,0.019173203265628703,6
20260915173827,Thermalization/20260915173827,,,40,0.86,1,0.5600000000000004,0.5600000000000004,77.03427142216714,77.03427142216714,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7134702765298906,0.0003506789430970474,0.01895362547418847,0.0003107618055079515,355403.38834040787,1296.584181564481,101739.46556352962,1296.5841815644808,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.060785793223455224,0.05866330426775195,0.005866330426775195,-4.31457579176872,0.18387460220136242,0.018387460220136244,6
20260915174027,Thermalization/20260915174027,,,40,0.86,1,0.5800000000000003,0.5800000000000003,76.13844285242617,76.13844285242617,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7149668068203302,0.00034597927292625517,0.020445882416405905,0.00035793801329009415,355217.9061243713,1193.876213946857,86161.4066680553,1193.876213946857,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.06339207957063736,0.06329432931947081,0.0063294329319470806,-4.345519634731556,0.1709215672120693,0.01709215672120693,6
20260915174228,Thermalization/20260915174228,,,40,0.86,1,0.6000000000000004,0.6000000000000003,75.28288231048226,75.28288231048226,0.002,100000,200,200,NVT,0.86,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7130721534020455,0.0003463272196230608,0.021320230624749872,0.0004419962190937621,355866.7916633037,1073.2670172528478,70799.88146343284,1073.2670172528476,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.07049498727879783,0.06682936165759458,0.006682936165759458,-4.364244505143743,0.15190809054062557,0.015190809054062556,6
20260915174430,Thermalization/20260915174430,,,40,0.88,1,0.5000000000000003,0.5000000000000002,79.99999999999999,79.99999999999999,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7032662064969174,0.0003877644939993979,0.023395777149004218,0.0002888387762102191,358266.6696698707,1567.7716990014064,153733.3303301293,1567.771699001406,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.03790581539436408,0.043735639827740404,0.0043735639827740405,-4.13729322605955,0.22104114070491943,0.022104114070491943,6
20260915174630,Thermalization/20260915174630,,,40,0.88,1,0.5200000000000005,0.5200000000000005,78.96092134994282,78.96092134994282,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7003867599492486,0.0003894015834045612,0.023084692786698294,0.00032853475374641056,360183.02602517104,1457.8877309515362,132124.68295322877,1457.8877309515358,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.04593685447835601,0.04552927049016684,0.004552927049016684,-4.157968367411823,0.20013387217413234,0.020013387217413234,6
20260915174829,Thermalization/20260915174829,,,40,0.88,1,0.5400000000000005,0.5400000000000005,77.97380635234308,77.97380635234308,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.6996254845680004,0.0003808866285643626,0.025460152801744736,0.0003781721693497347,360227.60471041506,1357.6845847670506,113846.50468001883,1357.6845847670506,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.04968573909326755,0.049525771386232244,0.0049525771386232246,-4.188908685751094,0.1837394994713401,0.01837394994713401,6
20260915175032,Thermalization/20260915175032,,,40,0.88,1,0.5600000000000004,0.5600000000000004,77.03427142216714,77.03427142216714,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7010788088509822,0.0003620077515567083,0.023764385540932468,0.0003886856546857297,360481.29531467473,1269.6761759619405,96661.55858926279,1269.6761759619405,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05258596632143571,0.05399773392424061,0.00539977339242406,-4.229590267830844,0.17258171619400656,0.017258171619400655,6
20260915175232,Thermalization/20260915175232,,,40,0.88,1,0.5800000000000003,0.5800000000000003,76.13844285242617,76.13844285242617,0.002,100000,200,200,NVT,0.88,,2.5,2,xplor,Separated,voxel_histogram,voxel_low_density_fraction_v1,0.7030704356556282,0.0003391162358885117,0.022007529489838848,0.000382253470595983,361179.02692537266,1173.1750224369039,80200.28586705391,1173.1750224369043,Complete,averaged_voxel_histogram_mixture,terminal_5_saved_frames_log_stride_10_v2,1000,100000,100,-0.05764386980558734,0.06170196658033892,0.006170196658033892,-4.261882913078743,0.16845513096304468,0.016845513096304467,6
