Run_ID,Therm_kT,temperature_K,phase,rho_MD,rho_MD_unc,rho_Argon_mol_L,rho_MD_scaled_mol_L,rho_MD_scaled_unc_mol_L,relative_MD_unc,weighted_log_residual
20260915173225,0.86,110.59561367803448,Liquid,0.715764877281007,0.0003912827774992405,30.997833401173448,31.373659764913583,0.017367133974136542,0.0005466638416034267,22.04529952099591
20260915173427,0.86,110.59561367803448,Liquid,0.7163055424339366,0.0003653515183227108,30.997833401173448,31.397358391506152,0.016245992802896948,0.0005100498274539128,25.108233095944065
20260915173627,0.86,110.59561367803448,Liquid,0.7136562011596174,0.00037087251647906146,30.997833401173448,31.281231525855265,0.016482914358810295,0.0005196795261870241,17.512666396666653
20260915173827,0.86,110.59561367803448,Liquid,0.7134702765298906,0.0003506789430970474,30.997833401173448,31.27308201159421,0.01561051788632652,0.0004915116363398438,17.98617874552504
20260915174027,0.86,110.59561367803448,Liquid,0.7149668068203302,0.00034597927292625517,30.997833401173448,31.338678457648527,0.015408732674947334,0.0004839095600324829,22.598760744484373
20260915174228,0.86,110.59561367803448,Liquid,0.7130721534020455,0.0003463272196230608,30.997833401173448,31.255631337561415,0.015422464854895079,0.00048568327618845323,17.05278192162511
20260915174430,0.88,113.16760469380273,Liquid,0.7032662064969174,0.0003877644939993979,30.50515510817748,30.825813597631274,0.017207348460865978,0.0005513765490466483,18.964813669641543
20260915174630,0.88,113.16760469380273,Liquid,0.7003867599492486,0.0003894015834045612,30.50515510817748,30.69960067609063,0.01727652633473717,0.0005559807890040325,11.428376788203346
20260915174829,0.88,113.16760469380273,Liquid,0.6996254845680004,0.0003808866285643626,30.50515510817748,30.666232183787105,0.016907431650594117,0.0005444150291345514,9.673559338728218
20260915175032,0.88,113.16760469380273,Liquid,0.7010788088509822,0.0003620077515567083,30.50515510817748,30.729934808810512,0.016091768140847167,0.0005163581426031305,14.217971683983997
20260915175232,0.88,113.16760469380273,Liquid,0.7030704356556282,0.0003391162358885117,30.50515510817748,30.81723250073556,0.015104624738521122,0.00048233607714179955,21.102176485855985
20260915175433,0.88,113.16760469380273,Liquid,0.7007697891892543,0.00034716074653868125,30.50515510817748,30.716389749482442,0.015450227416619024,0.0004953991337730526,13.929557917689122
20260915175633,0.9,115.73959570957098,Liquid,0.6886022198849266,0.0004042007133996501,29.995080858085807,30.18305653960197,0.01791101570501191,0.0005869872354858174,10.643039584290296
20260915175831,0.9,115.73959570957098,Liquid,0.6875248082297938,0.0003991936288934518,29.995080858085807,30.135831050104223,0.01769333868029054,0.0005806243267370622,8.062816334094004
20260915180033,0.9,115.73959570957098,Liquid,0.6864211809898766,0.0003861273977117321,29.995080858085807,30.08745646980352,0.017126516677874817,0.0005625225567120527,5.466375462569928
20260915180034,0.9,115.73959570957098,Liquid,0.6850211284014872,0.0003835991772562575,29.995080858085807,30.026088868576743,0.017016189852156263,0.0005599815266302737,1.8451249499504574
20260915180234,0.9,115.73959570957098,Liquid,0.6853715161732195,0.00037011667810774626,29.995080858085807,30.041447189563197,0.01643270416102985,0.000540023431633543,2.860254283490314
20260915180432,0.9,115.73959570957098,Liquid,0.6887117972596278,0.00034424231198330825,29.995080858085807,30.187859573923614,0.015316285277860739,0.0004998350737609583,12.81711950487535
20260915180633,0.92,118.31158672533921,Liquid,0.6753063604387302,0.0004121305501587811,29.466566787678765,29.600267716362026,0.018247667009723648,0.0006102867887858036,7.418011388514767
20260915180644,0.92,118.31158672533921,Liquid,0.6750165897259944,0.00040199378779247547,29.466566787678765,29.587566383787923,0.017807755661426075,0.000595531715680728,6.881123139836237
20260915180831,0.92,118.31158672533921,Liquid,0.6710495966594529,0.0003949198611204912,29.466566787678765,29.413683737810334,0.01749878636512781,0.0005885106899496534,-3.052267561113838
20260915181029,0.92,118.31158672533921,Liquid,0.6733524196670959,0.00037097149863553976,29.466566787678765,29.514621891991716,0.016462469695375063,0.0005509321535058081,2.957726250308475
20260915181228,0.92,118.31158672533921,Liquid,0.6720650597721828,0.0003673206877025812,29.466566787678765,29.458193876843186,0.0163036538724723,0.00054655525140244,-0.5199655447550174
20260915181257,0.92,118.31158672533921,Liquid,0.6763056546470578,0.00033857250764899623,29.466566787678765,29.644069134246926,0.015063324232622525,0.0005006205483017679,11.996680610048431
20260915181427,0.94,120.88357774110744,Liquid,0.6577182046018654,0.00043651073042508747,28.916612896956362,28.8293374365553,0.01929732954908313,0.0006636743933358501,-4.554554260132546
20260915181623,0.94,120.88357774110744,Liquid,0.6588279735730282,0.00042021108114546213,28.916612896956362,28.877981223396564,0.018589755830324902,0.0006378160885709319,-2.095998149696308
20260915181820,0.94,120.88357774110744,Liquid,0.6606780889502907,0.00038636264548037934,28.916612896956362,28.959076136285503,0.01712195558247972,0.0005847971227473978,2.509237638730152
20260915181914,0.94,120.88357774110744,Liquid,0.6595536743043748,0.00037627331651867254,28.916612896956362,28.909790395038105,0.016684019478437534,0.0005704968847539581,-0.41361302458018867
20260915182018,0.94,120.88357774110744,Liquid,0.6546377890562994,0.0003803615490294986,28.916612896956362,28.694315570676295,0.01685839375787668,0.0005810259587638732,-13.282076576127542
20260915182214,0.94,120.88357774110744,Liquid,0.6551639153011765,0.0003618992782735115,28.916612896956362,28.71737692269858,0.01605885023707024,0.0005523797477569376,-12.51650423489124
20260915182412,0.96,123.45556875687569,Liquid,0.6417721660183058,0.00045242945236497275,28.34221918591859,28.130385022154595,0.01998180481728339,0.000704968953658342,-10.641925847159095
20260915182528,0.96,123.45556875687569,Liquid,0.6417261802876815,0.00042981481312424756,28.34221918591859,28.128369359312728,0.01899839674215815,0.0006697791461952893,-11.30803225568756
20260915182607,0.96,123.45556875687569,Liquid,0.6411429771718135,0.0004164957525256104,28.34221918591859,28.102806193653375,0.018419322524523645,0.0006496144656576311,-13.058670231144703
20260915182804,0.96,123.45556875687569,Liquid,0.6424036147708455,0.0003818785777607098,28.34221918591859,28.158062907658586,0.01691732383945871,0.000594452722525435,-10.96604759391542
20260915183000,0.96,123.45556875687569,Liquid,0.6403881177310351,0.0003805627147663724,28.34221918591859,28.069718927126306,0.016859140378657565,0.0005942688570093205,-16.257220661819975
20260915183137,0.96,123.45556875687569,Liquid,0.6327664012976144,0.00037557445621943305,28.34221918591859,27.735641151313743,0.01663858545543145,0.0005935436133290932,-36.44932942990224
20260915183156,0.98,126.02755977264394,Liquid,0.6231437291654047,0.00047452628977438083,27.738385654565455,27.313856776181936,0.020935190987409324,0.0007615037551768807,-20.253439157668755
20260915183350,0.98,126.02755977264394,Liquid,0.6251644806454735,0.000439844353045536,27.738385654565455,27.40243107120177,0.01942655968628087,0.0007035658081396482,-17.3196064762249
20260915183544,0.98,126.02755977264394,Liquid,0.6246322928776631,0.00042086771841708386,27.738385654565455,27.379104028358096,0.018601089623953855,0.0006737847581945505,-19.34908991183875
20260915183740,0.98,126.02755977264394,Liquid,0.6196474315692124,0.00041815852396691946,27.738385654565455,27.160605820873105,0.018480879984237527,0.0006748329818909491,-31.19232477686338
20260915183749,0.98,126.02755977264394,Liquid,0.6145692613714825,0.0003986586440621382,27.738385654565455,26.938017665084967,0.017630933922925217,0.0006486797650316666,-45.13572681820993
20260915184126,1.0,128.5995507884122,Liquid,0.603517299383007,0.0004933567969680454,27.101116795012828,26.453584150439266,0.021747368331433963,0.0008174691884928869,-29.583110615119157
20260915184318,1.0,128.5995507884122,Liquid,0.6026107807520026,0.0004743911983718534,27.101116795012828,26.413849304538854,0.0209205440392595,0.0007872265374672803,-32.62906989628864
20260915184356,1.0,128.5995507884122,Liquid,0.6002131530732948,0.0004553019279710033,27.101116795012828,26.308755638417004,0.020088054903885672,0.0007585670617841397,-39.117358096760476
20260915173225,0.86,110.59561367803448,Vapor,0.020710697491092875,0.0002601497399054013,0.8649340158782555,0.907798632209917,0.011403249673519902,0.012561128857069389,3.850717723098402
20260915173427,0.86,110.59561367803448,Vapor,0.020358564162937003,0.0002718796461460824,0.8649340158782555,0.8923637993756821,0.011917378414383279,0.013354558993951172,2.3378289376975325
20260915173627,0.86,110.59561367803448,Vapor,0.020874412795728818,0.0003295711877470901,0.8649340158782555,0.9149746594627054,0.01444610088055179,0.015788285446502463,3.5623341562796433
20260915173827,0.86,110.59561367803448,Vapor,0.01895362547418847,0.0003107618055079515,0.8649340158782555,0.8307820288663486,0.013621613753563631,0.016395903038769803,-2.4570626610986332
20260915174027,0.86,110.59561367803448,Vapor,0.020445882416405905,0.00035793801329009415,0.8649340158782555,0.896191164006937,0.015689459990022414,0.017506606269186133,2.0278356957572727
20260915174228,0.86,110.59561367803448,Vapor,0.021320230624749872,0.0004419962190937621,0.8649340158782555,0.934515904540239,0.019373905869852815,0.020731305719585646,3.7322986454160105
20260915174430,0.88,113.16760469380273,Vapor,0.023395777149004218,0.0002888387762102191,1.0127238863219665,1.0254919953559385,0.012660798614324916,0.012345765407605312,1.0148317772958528
20260915174630,0.88,113.16760469380273,Vapor,0.023084692786698294,0.00032853475374641056,1.0127238863219665,1.0118564353404118,0.014400721392479351,0.014231714356437815,-0.060211955948971184
20260915174829,0.88,113.16760469380273,Vapor,0.025460152801744736,0.0003781721693497347,1.0127238863219665,1.115978440572536,0.016576461482101387,0.014853491740388114,6.53637064860688
20260915175032,0.88,113.16760469380273,Vapor,0.023764385540932468,0.0003886856546857297,1.0127238863219665,1.0416489690241346,0.017037248891307272,0.016355804950910522,1.7217976660698033
20260915175232,0.88,113.16760469380273,Vapor,0.022007529489838848,0.000382253470595983,1.0127238863219665,0.9646418319705217,0.016755280213205298,0.017369213149184885,-2.8004736051917467
20260915175433,0.88,113.16760469380273,Vapor,0.023927771561781698,0.0004916990411896339,1.0127238863219665,1.048810562993287,0.021552520189861195,0.020549303553825022,1.703858575104298
20260915175633,0.9,115.73959570957098,Vapor,0.027678606017634073,0.0003248057798059341,1.1798321039603974,1.2132184681414848,0.014237394127890995,0.011734903831464631,2.3779126110386644
20260915175831,0.9,115.73959570957098,Vapor,0.026604481255017336,0.00036000312531110683,1.1798321039603974,1.1661370508813642,0.015780111394898332,0.013531672422412442,-0.8628292822851715
20260915180033,0.9,115.73959570957098,Vapor,0.02830268068284278,0.00043246921436532085,1.1798321039603974,1.2405731300362364,0.018956451769370747,0.015280150287230064,3.285395101377987
20260915180034,0.9,115.73959570957098,Vapor,0.02776265220578776,0.0005175798614319448,1.1798321039603974,1.2169024104462376,0.022686991460139822,0.018643026523382497,1.6594128938159265
20260915180234,0.9,115.73959570957098,Vapor,0.02683606034574695,0.0005286197920840975,1.1798321039603974,1.1762877076568385,0.023170876534419238,0.019698114599294173,-0.15273921963063403
20260915180432,0.9,115.73959570957098,Vapor,0.026654334037236955,0.0005455966963702526,1.1798321039603974,1.168322215699222,0.023915004211258493,0.020469342644540905,-0.4789322148023887
20260915180633,0.92,118.31158672533921,Vapor,0.03143672460753674,0.0003828734438820267,1.3686037645764586,1.37794565403484,0.016782673549987522,0.012179177336758404,0.5585486708278792
20260915180644,0.92,118.31158672533921,Vapor,0.032323226296416575,0.00041403287731485325,1.3686037645764586,1.4168031102341305,0.01814845528191646,0.012809144530252349,2.7021267849456767
20260915180831,0.92,118.31158672533921,Vapor,0.030926879989484898,0.0004972452786576414,1.3686037645764586,1.3555979640496958,0.02179575102658539,0.01607809384026789,-0.5938770749789233
20260915181029,0.92,118.31158672533921,Vapor,0.029580668521689345,0.0004999233539352795,1.3686037645764586,1.2965903459018426,0.021913108573507256,0.016900339949001565,-3.1983417105345757
20260915181228,0.92,118.31158672533921,Vapor,0.02877320188904388,0.0006135180890128285,1.3686037645764586,1.2611971822970942,0.02689216662192929,0.02132255184454953,-3.833014747173695
20260915181257,0.92,118.31158672533921,Vapor,0.02934555559636524,0.0005660950496142329,1.3686037645764586,1.2862847928360472,0.024813531711667603,0.01929065707259432,-3.2157024175873605
20260915181427,0.94,120.88357774110744,Vapor,0.03655631487720556,0.0004498417330261635,1.5817548412174547,1.6023493490952958,0.01971811608894018,0.012305445298225595,1.0512423925481584
20260915181623,0.94,120.88357774110744,Vapor,0.035316623488960176,0.0005041787254818943,1.5817548412174547,1.5480107568245347,0.022099751802574015,0.014275960600805973,-1.5105229216029263
20260915181820,0.94,120.88357774110744,Vapor,0.037577126955329845,0.0005446591269771592,1.5817548412174547,1.6470939458749618,0.023874122833419383,0.014494432414288291,2.792630942974002
20260915181914,0.94,120.88357774110744,Vapor,0.03626595198133893,0.0005908894277799864,1.5817548412174547,1.5896220597403334,0.025900444807545893,0.016293228096812003,0.304506876081219
20260915182018,0.94,120.88357774110744,Vapor,0.03382089928991547,0.0008807112248010573,1.5817548412174547,1.4824496436539125,0.03860386242385996,0.026040443728344707,-2.4899347436855823
20260915182214,0.94,120.88357774110744,Vapor,0.0363339525734359,0.0010424184974134132,1.5817548412174547,1.592602685792239,0.045691867528260245,0.02868992838878574,0.23822637181728198
20260915182412,0.96,123.45556875687569,Vapor,0.04252695139355796,0.0005538486252560106,1.8227013069306932,1.8640564048474428,0.02427703203144533,0.013023473517547,1.7226848588494779
