Run_ID,N_Cells,Therm_kT,Nsteps,Nc,V,rho_c,uc,uc_uncertainty,rho_liquid,rho_liquid_uncertainty,u_EOS,u_EOS_uncertainty,u_EOS_mean_uncertainty,u_EOS_density_uncertainty,u_EOS_density_slope,P_EOS,P_EOS_uncertainty,P_EOS_mean_uncertainty,P_EOS_density_uncertainty,P_EOS_density_slope,Q,Q_uncertainty,Q_uncertainty_uc_component,Q_uncertainty_u_EOS_component,Q_uncertainty_P_EOS_component,Q_uncertainty_rho_liquid_component,T_K,T_C,P_bar,P_psia,Q_MD_keV,Q_MD_uncertainty_keV,rho_liquid_mol_L,rho_liquid_uncertainty_mol_L,Q_REFPROP_keV,Rc_REFPROP_nm,Pvap_REFPROP_psia,Pbub_REFPROP_psia,REFPROP_P_err_psia,REFPROP_G_err_J_kg,REFPROP_iterations,REFPROP_errID,superheat_margin_psia,Q_MD_over_REFPROP,Q_difference_keV,valid_REFPROP
20260922151435,15,1.0,500000,10679,20149.25567470314,0.529994763697758,-3.627646049859604,0.0015552952910424,0.5936264643980288,0.0022366391593118,-3.750632078893377,0.0121825260587791,0.0001449120090327,0.012181664158992,-5.4464145940912605,-0.0141372805498131,0.0029449493706024,0.0005114151327324,0.0029002036751621,1.2966792891413172,1282.833701410619,131.31075515345466,16.608998413042087,130.0971957817024,6.360585831045369,0.9582214302447176,128.5995507884122,-144.5504492115878,-6.625738812823301,-96.09821699906968,0.0142161730465379,0.0014551737826649,26.02004556610917,0.0980633473024884,(0.22709980259719034+0.0373311311802691j),10.129421158183748,274.61870054742565,0.0,96.09821699906968,0.0,1,,370.7169175464953,(0.06095178473741841-0.01001937934635722j),(-0.21288362955065243-0.0373311311802691j),True
20260922152304,15,1.0,500000,10692,20300.75022489925,0.5266800429319141,-3.6169347687858617,0.0018157708915806,0.5959740646759351,0.0022290251646748,-3.7634548524711375,0.0122251019418038,0.0001367730034058,0.0122243368177188,-5.484162768302376,-0.011056768097722,0.0030148971225241,0.0004967547002253,0.0029736912124846,1.3340770035310283,1540.4946464761126,132.33825787097933,19.414222372780635,130.7107899617671,7.116279421259162,0.7419034677247802,128.5995507884122,-144.5504492115878,-5.181990784672614,-75.15842217457609,0.0170715334711649,0.0014665636235789,26.1229464134696,0.0977299056302232,(0.3659467407637917+0.05180695304888187j),12.951566629127415,274.61870054742565,0.0,75.15842217457609,0.0,1,,349.77712272200176,(0.04573372862905718-0.006474508085222169j),(-0.3488752072926268-0.05180695304888187j),True
20260922150903,15,1.0,500000,10828,21428.572016710143,0.505306652797781,-3.581441453816455,0.0020945675767032,0.5990264761825699,0.0024033078043652,-3.780194774009363,0.0131809648323069,0.0001482428741964,0.0131801311814702,-5.484162768302376,-0.006984616101407,0.003247598807926,0.0005169085906919,0.0032061976742102,1.3340770035310283,2128.6844924365782,144.92472685019823,22.679977720543068,142.7234872042199,10.887822891169638,0.5065334713849088,128.5995507884122,-144.5504492115878,-3.27348968089726,-47.47795386836803,0.0235897662126307,0.0016060529303422,26.256740796389664,0.1053674561536443,(0.8972706544624348+0.09558041916546582j),20.502553990277274,274.61870054742565,0.0,47.47795386836804,0.0,1,,322.0966544157937,(0.02599560152318892-0.0027691427081535545j),(-0.8736808882498042-0.09558041916546582j),True
20260922150609,15,1.0,500000,10795,20769.23150062208,0.5197592409558663,-3.6013296293486627,0.0017567169720758,0.5993119999089904,0.0022648167473213,-3.7817606325992656,0.0124215211574985,0.0001493157702468,0.0124206236826875,-5.484162768302376,-0.0066037054640268,0.0030656559346719,0.0005187937932261,0.0030214399398133,1.3340770035310283,1929.5468538145417,135.6888805355581,18.963759713559277,134.09032089519673,8.451739659164554,0.4495080379892268,128.5995507884122,-144.5504492115878,-3.0949677660626445,-44.88871239726391,0.0213829524006636,0.001503700375575,26.26925597355449,0.0992986092934293,(1.0015022132240845+0.10300114648461121j),21.68516895560235,274.61870054742565,0.0,44.88871239726391,0.0,1,,319.5074129446896,(0.021127405112140802-0.0021728828154955154j),(-0.9801192608234209-0.10300114648461121j),True
20260922151558,15,1.0,500000,10887,21600.000184695928,0.5040277734679687,-3.5838075666399942,0.0017961071532502,0.5996439521503725,0.0024353489796492,-3.7835811127223073,0.0133566988389423,0.000150563128052,0.0133558502020153,-5.484162768302376,-0.0061608556125284,0.0032904493623311,0.0005209855452551,0.0032489430693227,1.3340770035310283,2153.7152151994933,147.1609795238417,19.55421857743544,145.41438025956504,11.33305226859762,0.4542799206308237,128.5995507884122,-144.5504492115878,-2.887416714148025,-41.87843888834222,0.0238671529743647,0.0016308349016763,26.28380622184116,0.106771620382007,(1.1475655130493037+0.11298937619024003j),23.243925475098887,274.61870054742565,0.0,41.87843888834222,0.0,1,,316.49713943576785,(0.020598385774113454-0.002028118423460326j),(-1.123698360074939-0.11298937619024003j),True
20260922152141,15,1.0,500000,10708,20610.68888556353,0.5195362493439154,-3.613945567147412,0.0021979576508889,0.5998377891380715,0.0023007559155995,-3.7846441463133664,0.0126186269214081,0.0001512914981287,0.0126177199312823,-5.484162768302376,-0.0059022621448054,0.0031135010558527,0.0005222653757792,0.0030693855577392,1.3340770035310283,1811.5548873592857,137.42408436878114,23.535730525719348,135.12025707443811,8.590759790576644,0.4041380667107211,128.5995507884122,-144.5504492115878,-2.76622135625739,-40.1206488318864,0.0200753829071394,0.0015229275332406,26.292302553380964,0.1008735415603434,(1.2483209263780837+0.11963759089310337j),24.262302352410416,274.61870054742565,0.0,40.1206488318864,0.0,1,,314.73934937931205,(0.015935539331493352-0.0015272431110593546j),(-1.2282455434709443-0.11963759089310337j),True
20260922150734,15,1.0,500000,10817,21093.74869956009,0.5128059575406617,-3.59194335661238,0.001688373146356,0.6000552912796847,0.002368694318493,-3.785841480794143,0.0131847014216895,0.0001516665230686,0.013183829066128,-5.565863422391976,-0.0056068347082877,0.0034255956858429,0.0005227032182263,0.0033854818192573,1.4292607504589947,2080.199417950464,144.16741682716645,18.263132324133323,142.6189152784163,10.506564240689876,0.3989799410038313,128.5995507884122,-144.5504492115878,-2.627762971307664,-38.11247973586224,0.0230524617995092,0.001597659789473,26.30183618433396,0.103850714684942,(1.3807602089828361+0.12811559001646716j),25.54069741146134,274.61870054742565,0.0,38.11247973586224,0.0,1,,312.73118028328787,(0.016552975917476936-0.0015358888983034791j),(-1.357707747183327-0.12811559001646716j),True
20260922151026,15,1.0,500000,10904,21774.1918102254,0.5007763362716113,-3.574241911077761,0.0024009506813803,0.6001242803248653,0.0023328136651131,-3.78622546439726,0.012985004607806,0.0001513739216252,0.0129841222499095,-5.565863422391976,-0.0055082313737994,0.0033748002026503,0.0005219131840197,0.0033341990096806,1.4292607504589947,2291.6135733480587,144.50199596418096,26.179966229770866,141.5884902435172,12.164879090797047,0.3890412676723693,128.5995507884122,-144.5504492115878,-2.5815504102644864,-37.44222320377331,0.0253953221518019,0.0016013713046431,26.30486013661173,0.1022783755823295,(1.429735702472979+0.13118255514883095j),25.997903683134165,274.61870054742565,0.0,37.44222320377331,0.0,1,,312.06092375119897,(0.017613964236940133-0.0016161342483825992j),(-1.4043403803211771-0.13118255514883095j),True
20260922152017,15,1.0,500000,10765,20930.23207728351,0.5143277895940639,-3.6109138947951696,0.0019770988415888,0.6007936143978585,0.0022464743294364,-3.789950886431493,0.0125044515234535,0.0001485350924255,0.0125035692995527,-5.565863422391976,-0.0045515784543254,0.0032517183758387,0.0005142482451603,0.0032107975859771,1.4292607504589947,1913.6226529542053,136.6345021416814,21.283469029703447,134.61042064997775,9.795038552231794,0.3049487877158576,128.5995507884122,-144.5504492115878,-2.1331945644123995,-30.93937143362697,0.0212064827656599,0.0015141792352099,26.334198624908225,0.0984949646323438,(2.0806537726418344+0.1691776317779883j),31.462155416516723,274.61870054742565,0.0,30.93937143362697,0.0,1,,305.5580719810526,(0.010125279684971067-0.0008232849024267014j),(-2.0594472898761746-0.1691776317779883j),True
20260922151313,15,1.0,500000,10732,20454.54715682004,0.5246755118908459,-3.623848816572184,0.0014340426685388,0.6017512253549749,0.0022186402662217,-3.795280818230589,0.0123494938141745,0.000144473601973,0.0123486487052093,-5.565863422391976,-0.0031829026991094,0.0032107058174262,0.0005032820778402,0.0031710154518985,1.4292607504589947,1831.469245100816,133.69040376178688,15.390145918759035,132.53476761372156,8.411839046992679,0.2092940830812615,128.5995507884122,-144.5504492115878,-1.491735406722788,-21.63579290855832,0.0202960708696189,0.0014815521564656,26.376172967753675,0.0972753533115176,(4.21240521365668+0.27255940248514204j),44.99115501096615,274.61870054742565,0.0,21.63579290855832,0.0,1,,296.25449345598395,(0.004798079116184648-0.0003104548377121801j),(-4.192109142787062-0.27255940248514204j),True
