temperature_K,temperature_C,pressure_fraction_of_Pvap,pressure_bar,pressure_psia,Pvap_bar_direct,Q_keV,Rc_nm,Pvap_psia,Pbub_psia,Rho_l_g_cc,Rho_b_g_cc,Sigma_N_m,P_err_psia,G_err_J_kg,iterations,errID,valid
90.0,-183.14999999999998,0.1,0.13350606602975368,1.9363417826234113,1.3350606602975368,322.40440528148673,198.65810872080115,19.363417790210807,19.26964336295854,1.3782451200935932,0.007398518462838823,0.01187070676820223,-4.34938054823329e-11,0.00015672805749827924,28.0,,True
90.0,-183.14999999999998,0.25,0.3337651650743842,4.840854456558528,1.3350606602975368,534.0313453256232,238.3902476135233,19.363417790210807,19.28524110537425,1.378308735120764,0.007404778881132722,0.01187070676820223,1.0791973107234227e-11,4.017417592479917e-05,19.0,,True
90.0,-183.14999999999998,0.4,0.5340242641190147,7.745367130493645,1.3350606602975368,997.989197171025,297.98845470140253,19.363417790210807,19.300851430337037,1.3783723245718797,0.007411044833563422,0.01187070676820223,-3.8763299890709345e-11,2.0681647242884215e-05,14.0,,True
90.0,-183.14999999999998,0.55,0.7342833631636453,10.649879804428764,1.3350606602975368,2258.9453189409464,397.3188005271792,19.363417790210807,19.31647425016806,1.3784358884734191,0.0074173162862243664,0.01187070676820223,3.306020791444557e-11,6.539400775499192e-06,11.0,,True
90.0,-183.14999999999998,0.7,0.9345424622082756,13.554392478363878,1.3350606602975368,7264.320364798065,595.9794928413904,19.363417790210807,19.332109583058035,1.3784994268518036,0.007423593247703722,0.01187070676820223,1.2881938869406785e-11,4.666180462280182e-06,8.0,,True
90.0,-183.14999999999998,0.85,1.1348015612529063,16.458905152298996,1.3350606602975368,55240.42717637922,1191.961577072625,19.363417790210807,19.347757424109137,1.3785629397334134,0.007429875717323288,0.01187070676820223,1.9805208095380765e-11,5.199519374959982e-07,6.0,,True
95.0,-178.14999999999998,0.1,0.21304695555568492,3.0899848521583073,2.130469555556849,91.1673556354943,112.15031664074246,30.899848464097627,30.664620130568128,1.346076807517387,0.011342387227501966,0.010661032522031889,6.451996374375605e-11,0.00016476816551224004,30.0,,True
95.0,-178.14999999999998,0.25,0.5326173888892123,7.724962130395768,2.130469555556849,150.07070099076716,134.58110970117735,30.899848464097627,30.703700265288667,1.3461926890152058,0.011357783608493446,0.010661032522031889,-1.1318586768215576e-11,5.135366622114889e-05,20.0,,True
95.0,-178.14999999999998,0.4,0.8521878222227397,12.35993940863323,2.130469555556849,278.54896770269187,168.22729948683207,30.899848464097627,30.742830218627557,1.3463084824961402,0.011373202356676953,0.010661032522031889,2.2095101548806516e-12,1.9930428478998675e-05,15.0,,True
95.0,-178.14999999999998,0.55,1.1717582555562671,16.994916686870692,2.130469555556849,625.816210884634,224.30428326616692,30.899848464097627,30.782009972365294,1.346424188131976,0.011388643476892352,0.010661032522031889,1.7498825760202175e-12,1.621476878869756e-05,11.0,,True
95.0,-178.14999999999998,0.7,1.4913286888897943,21.62989396510815,2.130469555556849,1996.0686177910163,336.4582535134999,30.899848464097627,30.821239534529784,1.3465398060939313,0.011404106984348234,0.010661032522031889,-4.2129092878507945e-11,2.0099131686672086e-06,9.0,,True
95.0,-178.14999999999998,0.85,1.8108991222233217,26.26487124334561,2.130469555556849,15041.66752419767,672.9201694527867,30.899848464097627,30.860519015712796,1.3466553365526568,0.011419592934721683,0.010661032522031889,3.062809785590157e-12,1.174593237555545e-06,6.0,,True
100.0,-173.14999999999998,0.1,0.32376718594438725,4.695846028799932,3.2376718594438723,27.99439172740851,65.89598304053436,46.958460200638754,46.419256136961565,1.312482051865897,0.016647687253080766,0.009478240518325015,-1.3596113560326696e-11,0.00019350681385681698,32.0,,True
100.0,-173.14999999999998,0.25,0.8094179648609681,11.739615071999829,3.2376718594438723,45.7593055169402,79.07617285140238,46.958460200638754,46.50868678779062,1.3126854363849383,0.01668266611415998,0.009478240518325015,2.364093421313533e-12,7.237162706507921e-05,21.0,,True
100.0,-173.14999999999998,0.4,1.295068743777549,18.783384115199727,3.2376718594438723,84.28104745924541,98.84645923737125,46.958460200638754,46.59829166063056,1.3128885388892146,0.0167177265184024,0.009478240518325015,2.3743989724090585e-11,2.1492378852229712e-05,16.0,,True
100.0,-173.14999999999998,0.55,1.78071952269413,25.827153158399625,3.2376718594438723,187.741111381342,131.7969388441837,46.958460200638754,46.68807109012146,1.3130913603806236,0.01675286869110704,0.009478240518325015,1.0276695552457955e-11,1.2237972014453932e-05,12.0,,True
100.0,-173.14999999999998,0.7,2.2663703016107104,32.87092220159952,3.2376718594438723,593.1227483178536,197.69790218640082,46.958460200638754,46.77802538516483,1.31329390185508,0.0167880928480675,0.009478240518325015,-9.303851529040356e-12,5.147291958171479e-06,9.0,,True
100.0,-173.14999999999998,0.85,2.7520210805272916,39.91469124479942,3.2376718594438723,4421.902861662551,395.4008017969566,46.958460200638754,46.86815495146265,1.3134961643025538,0.016823399243567193,0.009478240518325015,-8.145507585903298e-12,2.6159242323447847e-07,7.0,,True
105.0,-168.14999999999998,0.1,0.47223850068062534,6.849240393522936,4.722385006806253,9.154850399295478,39.914855300048,68.49240380780749,67.34490413303237,1.2770657639418799,0.023567138765483945,0.00832430132402883,-2.8072321184211264e-12,0.00017388537862134647,35.0,,True
105.0,-168.14999999999998,0.25,1.1805962517015633,17.12310098380734,4.722385006806253,14.84563094403275,47.899138568470946,68.49240380780749,67.53477302235862,1.2774134534306705,0.023641760538337796,0.00832430132402883,2.4733322629261026e-12,6.062933740385949e-05,23.0,,True
105.0,-168.14999999999998,0.4,1.8889540027225014,27.396961574091744,4.722385006806253,27.10212383606141,59.87556739981607,68.49240380780749,67.72519175718138,1.2777602822573983,0.023716656856871163,0.00832430132402883,-2.3208101067123263e-11,2.6685477943172973e-05,17.0,,True
105.0,-168.14999999999998,0.55,2.5973117537434396,37.67082216437615,4.722385006806253,59.775692870858116,79.836287638457,68.49240380780749,67.91616217038784,1.2781062558595084,0.023791829091186552,0.00832430132402883,2.579685550231925e-11,1.0793134907116553e-05,13.0,,True
105.0,-168.14999999999998,0.7,3.3056695047643774,47.94468275466055,4.722385006806253,186.74088187840275,119.7577365618237,68.49240380780749,68.10768627966729,1.2784513796172137,0.023867278691011008,0.00832430132402883,-3.7759539214005164e-12,2.856343378502843e-06,10.0,,True
105.0,-168.14999999999998,0.85,4.014027255785315,58.21854334494495,4.722385006806253,1374.4858166355841,239.52210098838438,68.49240380780749,68.29976614016408,1.278795658854357,0.023943007127938874,0.00832430132402883,6.595552701136273e-12,6.827357343738502e-07,7.0,,True
110.0,-163.14999999999998,0.1,0.6652608290151529,9.648792582036254,6.652608290151528,3.133336894220248,24.70944458545915,96.48792564085836,94.19119913389277,1.2392969660106274,0.03236483952900234,0.007201559892297763,5.647442000347934e-12,0.00019067205356075335,38.0,,True
110.0,-163.14999999999998,0.25,1.663152072537882,24.121981455090634,6.652608290151528,5.034704585896498,29.65302539231724,96.48792564085836,94.5699671893116,1.2398822625310755,0.03251635626338193,0.007201559892297763,2.019888014722984e-12,6.251489741189078e-05,25.0,,True
110.0,-163.14999999999998,0.4,2.6610433160606117,38.59517032814502,6.652608290151528,9.097360759420333,37.06840502752744,96.48792564085836,94.95033069350586,1.2404649982632978,0.03266874475020907,0.007201559892297763,5.680419763853615e-12,3.911569420669496e-05,18.0,,True
