Run_ID,Therm_kT,temperature_K,MD_density_ratio,MD_density_ratio_unc,Argon_density_ratio,ratio_weighted_residual
20260915173225,0.86,110.59561367803448,34.56015315702615,0.4345254523154428,35.83844362921634,-2.941808046867231
20260915173427,0.86,110.59561367803448,35.184482397731124,0.47021582311886756,35.83844362921634,-1.3907682373332255
20260915173627,0.86,110.59561367803448,34.18808510415397,0.540063569799459,35.83844362921634,-3.05585974939061
20260915173827,0.86,110.59561367803448,37.64294474962126,0.6174673329134915,35.83844362921634,2.92242362343358
20260915174027,0.86,110.59561367803448,34.968742960520814,0.6124178411323301,35.83844362921634,-1.420109948278933
20260915174228,0.86,110.59561367803448,33.445799248262645,0.6935653423102298,35.83844362921634,-3.449775003151
20260915174430,0.88,113.16760469380273,30.059536044386117,0.37147790590855995,30.12215228851922,-0.16855980702259157
20260915174630,0.88,113.16760469380273,30.33987787581998,0.432117842911937,30.12215228851922,0.5038569706669808
20260915174829,0.88,113.16760469380273,27.479233530760915,0.4084366376430027,30.12215228851922,-6.470817047682118
20260915175032,0.88,113.16760469380273,29.50123863473868,0.48275690367752605,30.12215228851922,-1.2861828573565073
20260915175232,0.88,113.16760469380273,31.946813293161537,0.555104920563911,30.12215228851922,3.28705608083731
20260915175433,0.88,113.16760469380273,29.286880618191336,0.6019998611505608,30.12215228851922,-1.387494789004581
20260915175633,0.9,115.73959570957098,24.87850072529727,0.29231181997115185,25.423408783302325,-1.8641328224730462
20260915175831,0.9,115.73959570957098,25.842443671031305,0.35001325031372305,25.423408783302325,1.1971972128294905
20260915180033,0.9,115.73959570957098,24.25286808277452,0.37083850652452643,25.423408783302325,-3.156470215291379
20260915180034,0.9,115.73959570957098,24.674196230383163,0.46020916035688675,25.423408783302325,-1.6279827032085925
20260915180234,0.9,115.73959570957098,25.53920014126958,0.5032631061549324,25.423408783302325,0.23008115745247334
20260915180432,0.9,115.73959570957098,25.838642087154586,0.5290576794416034,25.423408783302325,0.7848545063943149
20260915180633,0.92,118.31158672533921,21.481447856588407,0.2619546177629097,21.53046585076873,-0.18712399345710373
20260915180644,0.92,118.31158672533921,20.883329638441083,0.2677865390848963,21.53046585076873,-2.4166121812511534
20260915180831,0.92,118.31158672533921,21.697940331763466,0.3490951446969865,21.53046585076873,0.47973878622718025
20260915181029,0.92,118.31158672533921,22.763259024162206,0.38491117303930644,21.53046585076873,3.202799138458847
20260915181228,0.92,118.31158672533921,23.357326110726955,0.4982013846937875,21.53046585076873,3.66691124530109
20260915181257,0.92,118.31158672533921,23.046271944867367,0.44472741031394447,21.53046585076873,3.408393678789867
20260915181427,0.94,120.88357774110744,17.991917588279147,0.22172032711459047,18.28143800297121,-1.305791031701086
20260915181623,0.94,120.88357774110744,18.654896999963064,0.2665822380885697,18.28143800297121,1.400914778379853
20260915181820,0.94,120.88357774110744,17.581921303767523,0.2550473032962103,18.28143800297121,-2.7426939636812144
20260915181914,0.94,120.88357774110744,18.186581029053254,0.296499701127642,18.28143800297121,-0.319922662846532
20260915182018,0.94,120.88357774110744,19.356013672040227,0.5041646359606412,18.28143800297121,2.1313983417768037
20260915182214,0.94,120.88357774110744,18.031727045853334,0.5174248343804702,18.28143800297121,-0.48260334743473227
20260915182412,0.96,123.45556875687569,15.090951619812614,0.19682433668928553,15.549698958639189,-2.3307450010654462
20260915182528,0.96,123.45556875687569,16.524758032485714,0.24722502947920802,15.549698958639189,3.944014390049973
20260915182607,0.96,123.45556875687569,15.563761907825171,0.29488088493130565,15.549698958639189,0.047690270562157085
20260915182804,0.96,123.45556875687569,17.293502336593455,0.3252658390875142,15.549698958639189,5.361163603427437
20260915183000,0.96,123.45556875687569,17.081416515892887,0.4527404994820087,15.549698958639189,3.383213030436139
20260915183137,0.96,123.45556875687569,19.239213052272575,0.7057961425835791,15.549698958639189,5.227450068128532
20260915183156,0.98,126.02755977264394,12.92327734342812,0.18376087361632623,13.236487583855833,-1.704444663675597
20260915183350,0.98,126.02755977264394,14.059636219327272,0.2298537013411209,13.236487583855833,3.5811850349532626
20260915183544,0.98,126.02755977264394,13.8386751061991,0.25533127330423283,13.236487583855833,2.3584557995986124
20260915183740,0.98,126.02755977264394,13.879118296972692,0.39004566839602695,13.236487583855833,1.6475781304264432
20260915183749,0.98,126.02755977264394,14.748407813820888,0.6063928852476932,13.236487583855833,2.4933014003742495
20260915184126,1.0,128.5995507884122,11.806038010062192,0.22409389811186656,11.265649811126524,2.411436471446933
20260915184318,1.0,128.5995507884122,12.334020432242193,0.28841868489129024,11.265649811126524,3.704235117493707
20260915184356,1.0,128.5995507884122,12.268204155932265,0.41880497981053205,11.265649811126524,2.3938453292969397
