Run_ID,N_Cells,Therm_kT,Nsteps,Nc,V,rho_c,uc,uc_uncertainty,rho_liquid,rho_liquid_uncertainty,u_EOS,u_EOS_uncertainty,u_EOS_mean_uncertainty,u_EOS_density_uncertainty,u_EOS_density_slope,P_EOS,P_EOS_uncertainty,P_EOS_mean_uncertainty,P_EOS_density_uncertainty,P_EOS_density_slope,Q,Q_uncertainty,Q_uncertainty_uc_component,Q_uncertainty_u_EOS_component,Q_uncertainty_P_EOS_component,Q_uncertainty_rho_liquid_component,T_K,T_C,P_bar,P_psia,Q_MD_keV,Q_MD_uncertainty_keV,rho_liquid_mol_L,rho_liquid_uncertainty_mol_L
20260922151435,15,1.0,500000,10679,20149.25567470314,0.529994763697758,-3.627646049859604,0.001555295291042428,0.5936264643980288,0.0022366391593118414,-3.750632078893377,0.012182526058779135,0.00014491200903272902,0.012181664158992021,-5.4464145940912605,-0.014137280549813173,0.0029449493706024087,0.000511415132732401,0.002900203675162112,1.2966792891413172,1282.833701410619,131.31075515345466,16.608998413042087,130.0971957817024,6.360585831045369,0.9582214302447177,128.5995507884122,-144.5504492115878,-6.625738812823301,-96.09821699906969,0.014216173046537968,0.0014551737826649697,26.02004556610917,0.09806334730248847
20260922152304,15,1.0,500000,10692,20300.750224899246,0.5266800429319141,-3.6169347687858617,0.0018157708915806803,0.5959740646759351,0.0022290251646748414,-3.7634548524711384,0.01222510194180388,0.00013677300340585153,0.012224336817718838,-5.484162768302376,-0.01105676809772202,0.0030148971225241717,0.0004967547002253612,0.0029736912124846693,1.3340770035310283,1540.4946464761126,132.33825787097933,19.414222372780635,130.7107899617671,7.116279421259162,0.7419034677247802,128.5995507884122,-144.5504492115878,-5.181990784672614,-75.15842217457609,0.017071533471164906,0.0014665636235789477,26.1229464134696,0.0977299056302232
20260922150903,15,1.0,500000,10828,21428.572016710146,0.505306652797781,-3.581441453816455,0.0020945675767032757,0.5990264761825699,0.002403307804365208,-3.780194774009363,0.013180964832306973,0.00014824287419648263,0.013180131181470205,-5.484162768302376,-0.006984616101407004,0.0032475988079260112,0.0005169085906919085,0.0032061976742102714,1.3340770035310283,2128.6844924365782,144.92472685019823,22.679977720543068,142.7234872042199,10.887822891169638,0.5065334713849088,128.5995507884122,-144.5504492115878,-3.2734896808972596,-47.47795386836803,0.02358976621263073,0.0016060529303422097,26.256740796389664,0.10536745615364437
20260922150609,15,1.0,500000,10795,20769.231500622078,0.5197592409558663,-3.6013296293486627,0.001756716972075894,0.5993119999089904,0.0022648167473213747,-3.7817606325992656,0.012421521157498538,0.00014931577024689544,0.012420623682687574,-5.484162768302376,-0.006603705464026871,0.003065655934671979,0.000518793793226158,0.0030214399398133898,1.3340770035310283,1929.5468538145417,135.6888805355581,18.963759713559273,134.09032089519673,8.451739659164554,0.44950803798922684,128.5995507884122,-144.5504492115878,-3.0949677660626445,-44.88871239726391,0.021382952400663645,0.001503700375575066,26.269255973554486,0.09929860929342939
20260922151558,15,1.0,500000,10887,21600.000184695928,0.5040277734679687,-3.5838075666399942,0.0017961071532502468,0.5996439521503725,0.0024353489796492107,-3.7835811127223073,0.01335669883894232,0.0001505631280520395,0.01335585020201538,-5.484162768302376,-0.006160855612528497,0.0032904493623311126,0.0005209855452551347,0.003248943069322766,1.3340770035310283,2153.7152151994933,147.1609795238417,19.55421857743544,145.41438025956504,11.33305226859762,0.45427992063082373,128.5995507884122,-144.5504492115878,-2.887416714148025,-41.87843888834222,0.02386715297436472,0.0016308349016763057,26.28380622184116,0.10677162038200709
20260922152141,15,1.0,500000,10708,20610.68888556353,0.5195362493439154,-3.6139455671474123,0.002197957650888994,0.5998377891380715,0.0023007559155995214,-3.7846441463133664,0.012618626921408116,0.00015129149812878717,0.012617719931282339,-5.484162768302376,-0.005902262144805486,0.003113501055852792,0.0005222653757792826,0.003069385557739297,1.3340770035310283,1811.5548873592859,137.42408436878114,23.535730525719348,135.12025707443811,8.590759790576644,0.4041380667107211,128.5995507884122,-144.5504492115878,-2.76622135625739,-40.1206488318864,0.020075382907139477,0.0015229275332406267,26.292302553380964,0.10087354156034348
20260922150734,15,1.0,500000,10817,21093.748699560092,0.5128059575406617,-3.59194335661238,0.0016883731463560436,0.6000552912796847,0.0023686943184930377,-3.785841480794143,0.013184701421689591,0.00015166652306868665,0.013183829066128087,-5.565863422391976,-0.005606834708287771,0.00342559568584297,0.0005227032182263114,0.003385481819257316,1.4292607504589947,2080.199417950464,144.16741682716645,18.263132324133323,142.6189152784163,10.506564240689876,0.39897994100383133,128.5995507884122,-144.5504492115878,-2.6277629713076633,-38.11247973586224,0.023052461799509257,0.0015976597894730162,26.301836184333958,0.10385071468494206
20260922151026,15,1.0,500000,10904,21774.1918102254,0.5007763362716113,-3.574241911077761,0.002400950681380307,0.6001242803248653,0.002332813665113169,-3.7862254643972597,0.012985004607806053,0.00015137392162522238,0.01298412224990955,-5.565863422391976,-0.005508231373799496,0.003374800202650378,0.0005219131840197513,0.003334199009680646,1.4292607504589947,2291.6135733480587,144.50199596418096,26.179966229770866,141.5884902435172,12.164879090797047,0.3890412676723693,128.5995507884122,-144.5504492115878,-2.5815504102644864,-37.44222320377331,0.025395322151801993,0.0016013713046431855,26.30486013661173,0.10227837558232952
20260922152017,15,1.0,500000,10765,20930.23207728351,0.5143277895940639,-3.6109138947951704,0.0019770988415888013,0.6007936143978585,0.0022464743294364313,-3.7899508864314932,0.012504451523453577,0.0001485350924255294,0.012503569299552774,-5.565863422391976,-0.004551578454325476,0.0032517183758387423,0.0005142482451603061,0.003210797585977181,1.4292607504589947,1913.6226529542055,136.6345021416814,21.283469029703447,134.61042064997775,9.795038552231794,0.3049487877158576,128.5995507884122,-144.5504492115878,-2.1331945644123995,-30.93937143362697,0.021206482765659954,0.0015141792352099273,26.334198624908225,0.09849496463234385
20260922151313,15,1.0,500000,10732,20454.547156820037,0.5246755118908459,-3.6238488165721843,0.0014340426685388592,0.6017512253549749,0.0022186402662217027,-3.795280818230589,0.012349493814174576,0.00014447360197300952,0.01234864870520937,-5.565863422391976,-0.0031829026991094782,0.0032107058174262494,0.0005032820778402885,0.0031710154518985747,1.4292607504589947,1831.469245100816,133.69040376178688,15.390145918759037,132.53476761372156,8.411839046992679,0.20929408308126154,128.5995507884122,-144.5504492115878,-1.4917354067227881,-21.63579290855832,0.020296070869618904,0.0014815521564656567,26.376172967753675,0.09727535331151761
