Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
112.70	7.9047	1.2222	0.81817	-88.427	-87.780	1.6681	0.46945	1.2421	647.09	-0.017011	131.47	0.092766	0.0066092	0.039326	25.428	28.834	48.934	2.8812	0.36949	0.74434	183.80	2.0060	9.6632	0.0080664
112.80	7.9541	1.2215	0.81869	-88.306	-87.655	1.6692	0.46926	1.2431	646.26	-0.016857	131.16	0.092631	0.0065875	0.039566	25.275	28.831	48.934	2.8801	0.36973	0.74562	183.82	2.0025	9.6744	0.0080793
112.90	8.0037	1.2207	0.81921	-88.185	-87.530	1.6703	0.46908	1.2440	645.43	-0.016703	130.84	0.092497	0.0065658	0.039806	25.122	28.828	48.935	2.8790	0.36997	0.74692	183.85	1.9990	9.6857	0.0080923
113.00	8.0535	1.2199	0.81973	-88.064	-87.404	1.6713	0.46889	1.2450	644.60	-0.016549	130.52	0.092363	0.0065440	0.040047	24.971	28.825	48.935	2.8779	0.37022	0.74822	183.87	1.9955	9.6969	0.0081054
113.10	8.1036	1.2191	0.82025	-87.943	-87.278	1.6724	0.46871	1.2460	643.76	-0.016393	130.20	0.092229	0.0065223	0.040290	24.820	28.822	48.935	2.8768	0.37046	0.74953	183.90	1.9920	9.7082	0.0081185
113.20	8.1539	1.2184	0.82077	-87.822	-87.153	1.6735	0.46853	1.2471	642.93	-0.016237	129.89	0.092095	0.0065007	0.040534	24.671	28.819	48.935	2.8757	0.37070	0.75085	183.92	1.9886	9.7195	0.0081316
113.30	8.2044	1.2176	0.82130	-87.701	-87.027	1.6746	0.46834	1.2481	642.10	-0.016080	129.57	0.091961	0.0064790	0.040779	24.523	28.816	48.935	2.8746	0.37094	0.75217	183.95	1.9851	9.7308	0.0081448
113.40	8.2552	1.2168	0.82183	-87.580	-86.901	1.6756	0.46816	1.2491	641.26	-0.015922	129.26	0.091828	0.0064573	0.041025	24.376	28.812	48.935	2.8735	0.37119	0.75351	183.97	1.9817	9.7422	0.0081581
113.50	8.3061	1.2160	0.82235	-87.458	-86.775	1.6767	0.46798	1.2501	640.43	-0.015763	128.95	0.091694	0.0064357	0.041272	24.230	28.809	48.934	2.8724	0.37143	0.75485	183.99	1.9782	9.7535	0.0081714
113.60	8.3573	1.2152	0.82288	-87.337	-86.649	1.6778	0.46780	1.2511	639.59	-0.015604	128.63	0.091560	0.0064141	0.041520	24.085	28.805	48.933	2.8713	0.37168	0.75620	184.02	1.9748	9.7649	0.0081847
113.70	8.4087	1.2145	0.82341	-87.215	-86.523	1.6789	0.46762	1.2522	638.75	-0.015443	128.32	0.091427	0.0063925	0.041770	23.941	28.801	48.932	2.8702	0.37193	0.75756	184.04	1.9713	9.7763	0.0081981
113.80	8.4604	1.2137	0.82395	-87.094	-86.397	1.6799	0.46744	1.2532	637.91	-0.015282	128.01	0.091293	0.0063709	0.042021	23.798	28.797	48.931	2.8691	0.37218	0.75892	184.06	1.9679	9.7877	0.0082115
113.90	8.5123	1.2129	0.82448	-86.972	-86.270	1.6810	0.46726	1.2543	637.08	-0.015120	127.70	0.091159	0.0063493	0.042273	23.656	28.793	48.929	2.8680	0.37242	0.76029	184.09	1.9645	9.7992	0.0082250
114.00	8.5644	1.2121	0.82501	-86.850	-86.144	1.6821	0.46708	1.2553	636.24	-0.014957	127.39	0.091026	0.0063277	0.042526	23.515	28.788	48.927	2.8669	0.37267	0.76168	184.11	1.9610	9.8106	0.0082385
114.10	8.6167	1.2113	0.82555	-86.729	-86.017	1.6832	0.46691	1.2564	635.40	-0.014794	127.09	0.090893	0.0063062	0.042781	23.375	28.784	48.925	2.8658	0.37292	0.76307	184.13	1.9576	9.8221	0.0082520
114.20	8.6693	1.2105	0.82609	-86.607	-85.891	1.6842	0.46673	1.2575	634.55	-0.014630	126.78	0.090759	0.0062846	0.043036	23.236	28.779	48.923	2.8647	0.37318	0.76446	184.15	1.9542	9.8336	0.0082657
114.30	8.7221	1.2097	0.82663	-86.485	-85.764	1.6853	0.46655	1.2585	633.71	-0.014464	126.47	0.090626	0.0062631	0.043293	23.098	28.774	48.921	2.8636	0.37343	0.76587	184.18	1.9508	9.8451	0.0082793
114.40	8.7751	1.2089	0.82717	-86.363	-85.637	1.6864	0.46638	1.2596	632.87	-0.014298	126.17	0.090493	0.0062416	0.043551	22.961	28.770	48.918	2.8625	0.37368	0.76729	184.20	1.9474	9.8566	0.0082930
114.50	8.8283	1.2082	0.82771	-86.241	-85.510	1.6874	0.46620	1.2607	632.03	-0.014131	125.86	0.090360	0.0062201	0.043811	22.825	28.764	48.916	2.8615	0.37393	0.76871	184.22	1.9441	9.8682	0.0083068
114.60	8.8818	1.2074	0.82825	-86.119	-85.383	1.6885	0.46603	1.2618	631.18	-0.013964	125.56	0.090226	0.0061986	0.044071	22.691	28.759	48.913	2.8604	0.37419	0.77014	184.24	1.9407	9.8797	0.0083206
114.70	8.9355	1.2066	0.82880	-85.996	-85.256	1.6896	0.46585	1.2629	630.34	-0.013795	125.26	0.090093	0.0061772	0.044333	22.557	28.754	48.909	2.8593	0.37444	0.77158	184.26	1.9373	9.8913	0.0083345
114.80	8.9895	1.2058	0.82934	-85.874	-85.129	1.6906	0.46568	1.2640	629.49	-0.013625	124.95	0.089960	0.0061557	0.044596	22.423	28.748	48.906	2.8582	0.37470	0.77303	184.28	1.9340	9.9030	0.0083484
114.90	9.0437	1.2050	0.82989	-85.752	-85.001	1.6917	0.46551	1.2651	628.64	-0.013455	124.65	0.089827	0.0061343	0.044861	22.291	28.743	48.902	2.8571	0.37496	0.77449	184.31	1.9306	9.9146	0.0083624
115.00	9.0981	1.2042	0.83044	-85.629	-84.874	1.6928	0.46534	1.2663	627.79	-0.013284	124.35	0.089695	0.0061129	0.045126	22.160	28.737	48.898	2.8560	0.37522	0.77596	184.33	1.9272	9.9262	0.0083764
115.10	9.1528	1.2034	0.83099	-85.507	-84.746	1.6939	0.46517	1.2674	626.94	-0.013112	124.05	0.089562	0.0060915	0.045393	22.030	28.731	48.894	2.8549	0.37547	0.77744	184.35	1.9239	9.9379	0.0083905
115.20	9.2076	1.2026	0.83154	-85.384	-84.618	1.6949	0.46500	1.2685	626.09	-0.012939	123.75	0.089429	0.0060701	0.045661	21.900	28.725	48.890	2.8539	0.37573	0.77892	184.37	1.9206	9.9496	0.0084046
115.30	9.2628	1.2018	0.83210	-85.261	-84.491	1.6960	0.46483	1.2697	625.24	-0.012765	123.46	0.089296	0.0060487	0.045931	21.772	28.719	48.886	2.8528	0.37599	0.78042	184.39	1.9172	9.9613	0.0084188
115.40	9.3181	1.2010	0.83265	-85.138	-84.363	1.6971	0.46466	1.2708	624.39	-0.012590	123.16	0.089164	0.0060273	0.046201	21.644	28.712	48.881	2.8517	0.37626	0.78192	184.41	1.9139	9.9731	0.0084330
115.50	9.3737	1.2002	0.83321	-85.016	-84.235	1.6981	0.46449	1.2720	623.54	-0.012414	122.86	0.089031	0.0060060	0.046473	21.518	28.706	48.876	2.8506	0.37652	0.78344	184.43	1.9106	9.9848	0.0084473
115.60	9.4296	1.1994	0.83377	-84.893	-84.106	1.6992	0.46432	1.2731	622.69	-0.012238	122.57	0.088898	0.0059847	0.046746	21.392	28.699	48.871	2.8495	0.37678	0.78496	184.45	1.9073	9.9966	0.0084617
115.70	9.4856	1.1986	0.83433	-84.770	-83.978	1.7003	0.46415	1.2743	621.83	-0.012060	122.27	0.088766	0.0059634	0.047021	21.267	28.692	48.865	2.8484	0.37705	0.78649	184.47	1.9040	10.008	0.0084761
115.80	9.5419	1.1978	0.83489	-84.647	-83.850	1.7013	0.46399	1.2755	620.98	-0.011882	121.98	0.088634	0.0059421	0.047297	21.143	28.685	48.860	2.8474	0.37731	0.78803	184.48	1.9007	10.020	0.0084905
115.90	9.5985	1.1970	0.83545	-84.523	-83.721	1.7024	0.46382	1.2767	620.12	-0.011703	121.68	0.088501	0.0059208	0.047574	21.020	28.678	48.854	2.8463	0.37758	0.78958	184.50	1.8974	10.032	0.0085050
116.00	9.6553	1.1962	0.83601	-84.400	-83.593	1.7035	0.46366	1.2779	619.26	-0.011522	121.39	0.088369	0.0058995	0.047853	20.898	28.671	48.848	2.8452	0.37785	0.79115	184.52	1.8941	10.044	0.0085196
116.10	9.7123	1.1953	0.83658	-84.277	-83.464	1.7045	0.46349	1.2791	618.41	-0.011341	121.10	0.088237	0.0058783	0.048132	20.776	28.663	48.842	2.8441	0.37811	0.79272	184.54	1.8908	10.056	0.0085342
116.20	9.7696	1.1945	0.83715	-84.153	-83.335	1.7056	0.46333	1.2803	617.55	-0.011159	120.81	0.088105	0.0058570	0.048413	20.655	28.656	48.835	2.8430	0.37838	0.79430	184.56	1.8875	10.068	0.0085489
116.30	9.8271	1.1937	0.83772	-84.030	-83.206	1.7067	0.46316	1.2815	616.69	-0.010976	120.52	0.087972	0.0058358	0.048696	20.536	28.648	48.828	2.8420	0.37865	0.79589	184.58	1.8842	10.080	0.0085636
116.40	9.8849	1.1929	0.83829	-83.906	-83.077	1.7077	0.46300	1.2827	615.83	-0.010792	120.23	0.087840	0.0058146	0.048980	20.417	28.640	48.821	2.8409	0.37892	0.79749	184.59	1.8810	10.092	0.0085784
116.50	9.9429	1.1921	0.83886	-83.782	-82.948	1.7088	0.46284	1.2839	614.96	-0.010607	119.94	0.087708	0.0057934	0.049265	20.298	28.632	48.814	2.8398	0.37919	0.79910	184.61	1.8777	10.104	0.0085933
116.60	10.001	1.1913	0.83943	-83.659	-82.819	1.7099	0.46268	1.2852	614.10	-0.010421	119.65	0.087576	0.0057722	0.049551	20.181	28.624	48.807	2.8387	0.37947	0.80072	184.63	1.8744	10.116	0.0086082
116.70	10.060	1.1905	0.84001	-83.535	-82.690	1.7109	0.46252	1.2864	613.24	-0.010234	119.36	0.087445	0.0057511	0.049839	20.064	28.615	48.799	2.8377	0.37974	0.80235	184.65	1.8712	10.128	0.0086232
116.80	10.118	1.1896	0.84059	-83.411	-82.560	1.7120	0.46236	1.2877	612.37	-0.010046	119.07	0.087313	0.0057299	0.050129	19.949	28.607	48.791	2.8366	0.38002	0.80400	184.66	1.8679	10.140	0.0086382
116.90	10.177	1.1888	0.84117	-83.287	-82.431	1.7131	0.46220	1.2889	611.51	-0.0098567	118.79	0.087181	0.0057088	0.050419	19.834	28.598	48.783	2.8355	0.38029	0.80565	184.68	1.8647	10.152	0.0086533
117.00	10.237	1.1880	0.84175	-83.163	-82.301	1.7141	0.46204	1.2902	610.64	-0.0096667	118.50	0.087049	0.0056877	0.050711	19.720	28.589	48.775	2.8345	0.38057	0.80731	184.70	1.8615	10.164	0.0086685
117.10	10.296	1.1872	0.84233	-83.038	-82.171	1.7152	0.46188	1.2915	609.77	-0.0094757	118.22	0.086918	0.0056666	0.051004	19.606	28.580	48.766	2.8334	0.38084	0.80899	184.71	1.8582	10.176	0.0086837
117.20	10.356	1.1864	0.84291	-82.914	-82.041	1.7163	0.46173	1.2928	608.91	-0.0092838	117.93	0.086786	0.0056455	0.051299	19.493	28.571	48.758	2.8323	0.38112	0.81067	184.73	1.8550	10.188	0.0086990
117.30	10.416	1.1855	0.84350	-82.790	-81.911	1.7173	0.46157	1.2941	608.04	-0.0090908	117.65	0.086655	0.0056244	0.051595	19.382	28.561	48.748	2.8312	0.38140	0.81237	184.74	1.8518	10.200	0.0087143
117.40	10.476	1.1847	0.84408	-82.665	-81.781	1.7184	0.46141	1.2954	607.17	-0.0088967	117.37	0.086523	0.0056034	0.051893	19.270	28.552	48.739	2.8302	0.38168	0.81407	184.76	1.8486	10.213	0.0087297
117.50	10.536	1.1839	0.84467	-82.541	-81.651	1.7195	0.46126	1.2967	606.30	-0.0087017	117.08	0.086392	0.0055823	0.052192	19.160	28.542	48.730	2.8291	0.38196	0.81579	184.77	1.8454	10.225	0.0087452
117.60	10.597	1.1831	0.84526	-82.416	-81.520	1.7205	0.46110	1.2980	605.42	-0.0085055	116.80	0.086261	0.0055613	0.052492	19.050	28.532	48.720	2.8280	0.38225	0.81752	184.79	1.8422	10.237	0.0087607
117.70	10.658	1.1822	0.84586	-82.291	-81.390	1.7216	0.46095	1.2993	604.55	-0.0083084	116.52	0.086129	0.0055403	0.052794	18.942	28.522	48.710	2.8270	0.38253	0.81926	184.80	1.8390	10.249	0.0087763
117.80	10.719	1.1814	0.84645	-82.166	-81.259	1.7227	0.46080	1.3007	603.68	-0.0081102	116.24	0.085998	0.0055193	0.053097	18.833	28.512	48.700	2.8259	0.38281	0.82101	184.82	1.8358	10.262	0.0087920
117.90	10.781	1.1806	0.84705	-82.042	-81.128	1.7237	0.46065	1.3020	602.80	-0.0079109	115.96	0.085867	0.0054984	0.053402	18.726	28.502	48.689	2.8248	0.38310	0.82277	184.83	1.8326	10.274	0.0088077
118.00	10.842	1.1797	0.84764	-81.916	-80.997	1.7248	0.46049	1.3034	601.93	-0.0077106	115.68	0.085736	0.0054774	0.053708	18.619	28.491	48.679	2.8238	0.38339	0.82455	184.85	1.8294	10.286	0.0088235
118.10	10.904	1.1789	0.84824	-81.791	-80.866	1.7259	0.46034	1.3047	601.05	-0.0075091	115.41	0.085605	0.0054565	0.054016	18.513	28.480	48.668	2.8227	0.38367	0.82634	184.86	1.8262	10.299	0.0088394
118.20	10.967	1.1781	0.84884	-81.666	-80.735	1.7269	0.46019	1.3061	600.17	-0.0073066	115.13	0.085474	0.0054356	0.054325	18.408	28.469	48.656	2.8216	0.38396	0.82813	184.88	1.8231	10.311	0.0088553
118.30	11.029	1.1772	0.84945	-81.541	-80.604	1.7280	0.46005	1.3075	599.29	-0.0071030	114.85	0.085343	0.0054147	0.054635	18.303	28.458	48.645	2.8206	0.38425	0.82994	184.89	1.8199	10.324	0.0088713
118.40	11.092	1.1764	0.85005	-81.415	-80.473	1.7291	0.45990	1.3089	598.41	-0.0068983	114.57	0.085212	0.0053938	0.054947	18.199	28.447	48.633	2.8195	0.38454	0.83177	184.90	1.8167	10.336	0.0088874
118.50	11.155	1.1756	0.85066	-81.290	-80.341	1.7301	0.45975	1.3102	597.53	-0.0066925	114.30	0.085081	0.0053729	0.055261	18.096	28.436	48.621	2.8184	0.38483	0.83360	184.92	1.8136	10.348	0.0089036
118.60	11.218	1.1747	0.85127	-81.164	-80.209	1.7312	0.45960	1.3117	596.65	-0.0064856	114.02	0.084951	0.0053520	0.055575	17.994	28.424	48.609	2.8174	0.38513	0.83545	184.93	1.8104	10.361	0.0089198
118.70	11.281	1.1739	0.85188	-81.039	-80.078	1.7323	0.45946	1.3131	595.77	-0.0062775	113.75	0.084820	0.0053312	0.055892	17.892	28.412	48.597	2.8163	0.38542	0.83730	184.94	1.8073	10.374	0.0089360
118.80	11.345	1.1730	0.85249	-80.913	-79.946	1.7333	0.45931	1.3145	594.88	-0.0060683	113.48	0.084689	0.0053104	0.056210	17.790	28.401	48.584	2.8152	0.38572	0.83918	184.95	1.8041	10.386	0.0089524
118.90	11.409	1.1722	0.85310	-80.787	-79.814	1.7344	0.45917	1.3159	594.00	-0.0058580	113.20	0.084559	0.0052896	0.056529	17.690	28.388	48.571	2.8142	0.38601	0.84106	184.97	1.8010	10.399	0.0089688
119.00	11.473	1.1713	0.85372	-80.661	-79.682	1.7355	0.45902	1.3174	593.11	-0.0056465	112.93	0.084428	0.0052688	0.056850	17.590	28.376	48.558	2.8131	0.38631	0.84296	184.98	1.7979	10.411	0.0089853
119.10	11.538	1.1705	0.85434	-80.535	-79.549	1.7365	0.45888	1.3188	592.22	-0.0054339	112.66	0.084298	0.0052480	0.057173	17.491	28.364	48.545	2.8120	0.38661	0.84487	184.99	1.7947	10.424	0.0090019
119.20	11.603	1.1697	0.85496	-80.409	-79.417	1.7376	0.45874	1.3203	591.33	-0.0052201	112.39	0.084168	0.0052272	0.057497	17.392	28.351	48.531	2.8110	0.38691	0.84679	185.00	1.7916	10.437	0.0090185
119.30	11.668	1.1688	0.85558	-80.283	-79.284	1.7386	0.45860	1.3218	590.45	-0.0050051	112.12	0.084037	0.0052065	0.057822	17.294	28.338	48.517	2.8099	0.38721	0.84872	185.01	1.7885	10.449	0.0090353
119.40	11.733	1.1680	0.85620	-80.156	-79.152	1.7397	0.45846	1.3232	589.56	-0.0047890	111.85	0.083907	0.0051858	0.058149	17.197	28.325	48.503	2.8088	0.38751	0.85067	185.02	1.7854	10.462	0.0090520
119.50	11.799	1.1671	0.85683	-80.030	-79.019	1.7408	0.45832	1.3247	588.66	-0.0045716	111.58	0.083777	0.0051650	0.058478	17.101	28.312	48.489	2.8078	0.38781	0.85264	185.03	1.7823	10.475	0.0090689
119.60	11.864	1.1662	0.85745	-79.903	-78.886	1.7418	0.45818	1.3262	587.77	-0.0043530	111.31	0.083647	0.0051443	0.058808	17.004	28.299	48.474	2.8067	0.38811	0.85461	185.05	1.7791	10.488	0.0090859
119.70	11.931	1.1654	0.85808	-79.777	-78.753	1.7429	0.45804	1.3278	586.88	-0.0041333	111.04	0.083517	0.0051237	0.059140	16.909	28.285	48.459	2.8057	0.38842	0.85660	185.06	1.7760	10.500	0.0091029
119.80	11.997	1.1645	0.85871	-79.650	-78.620	1.7440	0.45790	1.3293	585.98	-0.0039123	110.77	0.083387	0.0051030	0.059473	16.814	28.272	48.444	2.8046	0.38872	0.85860	185.07	1.7729	10.513	0.0091200
119.90	12.064	1.1637	0.85935	-79.523	-78.486	1.7450	0.45776	1.3308	585.09	-0.0036901	110.51	0.083257	0.0050824	0.059808	16.720	28.258	48.428	2.8035	0.38903	0.86062	185.08	1.7699	10.526	0.0091372
120.00	12.130	1.1628	0.85998	-79.396	-78.353	1.7461	0.45763	1.3324	584.19	-0.0034666	110.24	0.083127	0.0050617	0.060144	16.627	28.244	48.413	2.8025	0.38934	0.86265	185.09	1.7668	10.539	0.0091544
120.10	12.198	1.1620	0.86062	-79.269	-78.219	1.7472	0.45749	1.3339	583.29	-0.0032419	109.97	0.082997	0.0050411	0.060483	16.534	28.230	48.397	2.8014	0.38965	0.86470	185.10	1.7637	10.552	0.0091718
120.20	12.265	1.1611	0.86126	-79.142	-78.086	1.7482	0.45736	1.3355	582.39	-0.0030160	109.71	0.082868	0.0050205	0.060822	16.441	28.215	48.380	2.8004	0.38996	0.86676	185.10	1.7606	10.565	0.0091892
120.30	12.333	1.1602	0.86190	-79.015	-77.952	1.7493	0.45723	1.3370	581.49	-0.0027887	109.44	0.082738	0.0050000	0.061164	16.350	28.201	48.364	2.7993	0.39027	0.86883	185.11	1.7575	10.578	0.0092067
120.40	12.400	1.1594	0.86254	-78.887	-77.818	1.7504	0.45709	1.3386	580.59	-0.0025602	109.18	0.082608	0.0049794	0.061506	16.258	28.186	48.347	2.7982	0.39058	0.87092	185.12	1.7544	10.591	0.0092243
120.50	12.469	1.1585	0.86318	-78.760	-77.683	1.7514	0.45696	1.3402	579.69	-0.0023305	108.92	0.082479	0.0049589	0.061851	16.168	28.171	48.330	2.7972	0.39090	0.87302	185.13	1.7514	10.604	0.0092419
120.60	12.537	1.1576	0.86383	-78.632	-77.549	1.7525	0.45683	1.3418	578.79	-0.0020994	108.65	0.082349	0.0049383	0.062197	16.078	28.156	48.313	2.7961	0.39121	0.87514	185.14	1.7483	10.617	0.0092597
120.70	12.606	1.1568	0.86448	-78.504	-77.415	1.7536	0.45670	1.3435	577.88	-0.0018670	108.39	0.082220	0.0049178	0.062545	15.988	28.140	48.295	2.7951	0.39153	0.87727	185.15	1.7452	10.630	0.0092775
120.80	12.675	1.1559	0.86513	-78.377	-77.280	1.7546	0.45657	1.3451	576.98	-0.0016333	108.13	0.082090	0.0048973	0.062895	15.900	28.125	48.277	2.7940	0.39185	0.87942	185.16	1.7422	10.643	0.0092954
120.90	12.744	1.1550	0.86579	-78.249	-77.145	1.7557	0.45644	1.3467	576.07	-0.0013983	107.87	0.081961	0.0048769	0.063246	15.811	28.109	48.259	2.7929	0.39217	0.88158	185.16	1.7391	10.657	0.0093134
121.00	12.814	1.1541	0.86644	-78.121	-77.010	1.7568	0.45631	1.3484	575.16	-0.0011619	107.61	0.081832	0.0048564	0.063599	15.724	28.093	48.241	2.7919	0.39249	0.88376	185.17	1.7361	10.670	0.0093315
121.10	12.884	1.1533	0.86710	-77.993	-76.875	1.7578	0.45619	1.3500	574.25	-0.00092422	107.34	0.081703	0.0048360	0.063953	15.636	28.077	48.222	2.7908	0.39281	0.88596	185.18	1.7330	10.683	0.0093497
121.20	12.954	1.1524	0.86776	-77.864	-76.740	1.7589	0.45606	1.3517	573.34	-0.00068516	107.08	0.081574	0.0048155	0.064309	15.550	28.061	48.203	2.7898	0.39313	0.88817	185.18	1.7300	10.696	0.0093680
121.30	13.024	1.1515	0.86842	-77.736	-76.605	1.7599	0.45594	1.3534	572.43	-0.00044474	106.83	0.081445	0.0047951	0.064667	15.464	28.044	48.184	2.7887	0.39345	0.89039	185.19	1.7270	10.710	0.0093863
121.40	13.095	1.1506	0.86908	-77.608	-76.470	1.7610	0.45581	1.3551	571.52	-0.00020293	106.57	0.081316	0.0047747	0.065027	15.378	28.027	48.164	2.7877	0.39378	0.89264	185.20	1.7239	10.723	0.0094048
121.50	13.165	1.1498	0.86975	-77.479	-76.334	1.7621	0.45569	1.3568	570.60	4.0259e-05	106.31	0.081187	0.0047544	0.065388	15.293	28.010	48.145	2.7866	0.39410	0.89489	185.20	1.7209	10.736	0.0094233
121.60	13.237	1.1489	0.87042	-77.350	-76.198	1.7631	0.45557	1.3585	569.69	0.00028485	106.05	0.081058	0.0047340	0.065751	15.209	27.993	48.125	2.7855	0.39443	0.89717	185.21	1.7179	10.750	0.0094419
121.70	13.308	1.1480	0.87109	-77.222	-76.062	1.7642	0.45545	1.3603	568.77	0.00053085	105.79	0.080929	0.0047137	0.066116	15.125	27.976	48.104	2.7845	0.39476	0.89946	185.22	1.7148	10.763	0.0094606
121.80	13.380	1.1471	0.87176	-77.093	-75.926	1.7653	0.45532	1.3620	567.86	0.00077827	105.54	0.080800	0.0046934	0.066483	15.041	27.959	48.084	2.7834	0.39509	0.90177	185.22	1.7118	10.777	0.0094794
121.90	13.452	1.1462	0.87244	-76.964	-75.790	1.7663	0.45521	1.3638	566.94	0.0010271	105.28	0.080671	0.0046731	0.066851	14.959	27.941	48.063	2.7824	0.39542	0.90410	185.23	1.7088	10.790	0.0094983
122.00	13.524	1.1453	0.87311	-76.834	-75.654	1.7674	0.45509	1.3656	566.02	0.0012774	105.02	0.080543	0.0046528	0.067221	14.876	27.923	48.042	2.7813	0.39575	0.90644	185.23	1.7058	10.804	0.0095173
122.10	13.597	1.1444	0.87379	-76.705	-75.517	1.7685	0.45497	1.3673	565.10	0.0015292	104.77	0.080414	0.0046325	0.067593	14.794	27.905	48.020	2.7802	0.39609	0.90880	185.24	1.7028	10.818	0.0095364
122.20	13.669	1.1435	0.87447	-76.576	-75.381	1.7695	0.45485	1.3691	564.17	0.0017824	104.51	0.080286	0.0046123	0.067967	14.713	27.887	47.999	2.7792	0.39642	0.91118	185.24	1.6998	10.831	0.0095556
122.30	13.742	1.1427	0.87516	-76.446	-75.244	1.7706	0.45474	1.3710	563.25	0.0020371	104.26	0.080157	0.0045920	0.068342	14.632	27.868	47.976	2.7781	0.39676	0.91357	185.25	1.6968	10.845	0.0095749
122.40	13.816	1.1418	0.87584	-76.317	-75.107	1.7717	0.45462	1.3728	562.33	0.0022933	104.01	0.080029	0.0045718	0.068719	14.552	27.849	47.954	2.7771	0.39710	0.91599	185.25	1.6938	10.859	0.0095943
122.50	13.890	1.1409	0.87653	-76.187	-74.970	1.7727	0.45451	1.3746	561.40	0.0025510	103.75	0.079900	0.0045516	0.069098	14.472	27.830	47.932	2.7760	0.39744	0.91842	185.25	1.6908	10.872	0.0096138
122.60	13.963	1.1400	0.87722	-76.057	-74.832	1.7738	0.45439	1.3765	560.47	0.0028102	103.50	0.079772	0.0045315	0.069479	14.393	27.811	47.909	2.7750	0.39778	0.92087	185.26	1.6878	10.886	0.0096334
122.70	14.038	1.1391	0.87792	-75.927	-74.695	1.7749	0.45428	1.3783	559.54	0.0030709	103.25	0.079644	0.0045113	0.069862	14.314	27.792	47.885	2.7739	0.39812	0.92334	185.26	1.6848	10.900	0.0096531
122.80	14.112	1.1382	0.87861	-75.797	-74.557	1.7759	0.45417	1.3802	558.62	0.0033332	103.00	0.079516	0.0044912	0.070246	14.236	27.773	47.862	2.7728	0.39846	0.92582	185.27	1.6818	10.914	0.0096729
122.90	14.187	1.1373	0.87931	-75.667	-74.420	1.7770	0.45406	1.3821	557.68	0.0035970	102.74	0.079388	0.0044710	0.070633	14.158	27.753	47.838	2.7718	0.39881	0.92833	185.27	1.6788	10.928	0.0096928
123.00	14.262	1.1363	0.88001	-75.537	-74.282	1.7781	0.45395	1.3840	556.75	0.0038624	102.49	0.079260	0.0044509	0.071021	14.080	27.733	47.814	2.7707	0.39915	0.93085	185.27	1.6758	10.942	0.0097128
123.10	14.337	1.1354	0.88071	-75.406	-74.144	1.7792	0.45384	1.3859	555.82	0.0041294	102.24	0.079132	0.0044309	0.071411	14.003	27.713	47.790	2.7697	0.39950	0.93340	185.27	1.6728	10.955	0.0097329
123.20	14.413	1.1345	0.88142	-75.276	-74.005	1.7802	0.45373	1.3879	554.88	0.0043980	101.99	0.079004	0.0044108	0.071803	13.927	27.692	47.765	2.7686	0.39985	0.93596	185.28	1.6699	10.969	0.0097531
123.30	14.489	1.1336	0.88213	-75.145	-73.867	1.7813	0.45363	1.3898	553.95	0.0046681	101.74	0.078876	0.0043907	0.072197	13.851	27.672	47.740	2.7676	0.40020	0.93854	185.28	1.6669	10.984	0.0097734
123.40	14.565	1.1327	0.88284	-75.014	-73.728	1.7824	0.45352	1.3918	553.01	0.0049399	101.49	0.078748	0.0043707	0.072593	13.775	27.651	47.715	2.7665	0.40055	0.94115	185.28	1.6639	10.998	0.0097938
123.50	14.642	1.1318	0.88355	-74.883	-73.590	1.7834	0.45342	1.3938	552.07	0.0052133	101.25	0.078620	0.0043507	0.072991	13.700	27.630	47.689	2.7654	0.40091	0.94377	185.28	1.6609	11.012	0.0098144
123.60	14.718	1.1309	0.88426	-74.752	-73.451	1.7845	0.45332	1.3957	551.13	0.0054884	101.00	0.078493	0.0043307	0.073390	13.626	27.609	47.663	2.7644	0.40126	0.94642	185.28	1.6580	11.026	0.0098350
123.70	14.795	1.1300	0.88498	-74.621	-73.312	1.7856	0.45321	1.3978	550.19	0.0057651	100.75	0.078365	0.0043107	0.073792	13.552	27.587	47.637	2.7633	0.40162	0.94908	185.28	1.6550	11.040	0.0098558
123.80	14.873	1.1290	0.88570	-74.490	-73.172	1.7866	0.45311	1.3998	549.25	0.0060435	100.50	0.078237	0.0042908	0.074195	13.478	27.565	47.611	2.7623	0.40197	0.95177	185.28	1.6521	11.054	0.0098766
123.90	14.950	1.1281	0.88643	-74.358	-73.033	1.7877	0.45301	1.4018	548.31	0.0063236	100.25	0.078110	0.0042708	0.074601	13.405	27.544	47.584	2.7612	0.40233	0.95447	185.29	1.6491	11.069	0.0098976
