Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
105.70	4.9642	1.2742	0.78483	-96.730	-96.341	1.5919	0.48386	1.1856	703.36	-0.026076	156.37	0.10229	0.0081652	0.025180	39.714	28.703	48.418	2.9614	0.35449	0.67002	181.51	2.2717	8.9153	0.0072514
105.80	4.9995	1.2735	0.78527	-96.613	-96.221	1.5930	0.48363	1.1862	702.58	-0.025967	155.97	0.10215	0.0081425	0.025350	39.448	28.709	48.431	2.9602	0.35469	0.67090	181.55	2.2676	8.9255	0.0072620
105.90	5.0349	1.2727	0.78571	-96.497	-96.101	1.5941	0.48341	1.1869	701.80	-0.025857	155.58	0.10202	0.0081198	0.025520	39.185	28.715	48.445	2.9590	0.35488	0.67178	181.59	2.2635	8.9358	0.0072726
106.00	5.0706	1.2720	0.78615	-96.380	-95.981	1.5952	0.48319	1.1875	701.02	-0.025747	155.19	0.10188	0.0080972	0.025691	38.924	28.721	48.458	2.9578	0.35507	0.67266	181.62	2.2594	8.9460	0.0072832
106.10	5.1064	1.2713	0.78659	-96.263	-95.861	1.5963	0.48296	1.1882	700.23	-0.025636	154.79	0.10174	0.0080745	0.025863	38.666	28.726	48.471	2.9566	0.35526	0.67355	181.66	2.2553	8.9563	0.0072938
106.20	5.1424	1.2706	0.78704	-96.146	-95.741	1.5974	0.48274	1.1889	699.45	-0.025525	154.40	0.10160	0.0080519	0.026036	38.409	28.732	48.483	2.9554	0.35546	0.67445	181.70	2.2512	8.9665	0.0073045
106.30	5.1786	1.2699	0.78748	-96.029	-95.621	1.5985	0.48252	1.1896	698.67	-0.025413	154.01	0.10146	0.0080293	0.026209	38.155	28.737	48.496	2.9543	0.35565	0.67535	181.74	2.2471	8.9768	0.0073152
106.40	5.2150	1.2692	0.78793	-95.912	-95.501	1.5996	0.48229	1.1903	697.88	-0.025300	153.63	0.10133	0.0080067	0.026384	37.902	28.742	48.508	2.9531	0.35585	0.67625	181.78	2.2431	8.9871	0.0073259
106.50	5.2515	1.2684	0.78837	-95.795	-95.381	1.6007	0.48207	1.1909	697.10	-0.025187	153.24	0.10119	0.0079841	0.026559	37.652	28.748	48.520	2.9519	0.35604	0.67716	181.82	2.2390	8.9974	0.0073366
106.60	5.2883	1.2677	0.78882	-95.678	-95.261	1.6018	0.48185	1.1916	696.31	-0.025074	152.85	0.10105	0.0079615	0.026736	37.403	28.753	48.532	2.9507	0.35624	0.67807	181.86	2.2350	9.0078	0.0073474
106.70	5.3252	1.2670	0.78927	-95.561	-95.141	1.6029	0.48163	1.1923	695.52	-0.024960	152.47	0.10091	0.0079389	0.026913	37.157	28.757	48.544	2.9495	0.35644	0.67899	181.89	2.2310	9.0181	0.0073582
106.80	5.3623	1.2663	0.78972	-95.444	-95.020	1.6040	0.48141	1.1930	694.74	-0.024845	152.09	0.10078	0.0079164	0.027091	36.913	28.762	48.556	2.9484	0.35664	0.67991	181.93	2.2269	9.0284	0.0073690
106.90	5.3996	1.2656	0.79017	-95.327	-94.900	1.6051	0.48119	1.1937	693.95	-0.024730	151.70	0.10064	0.0078938	0.027270	36.670	28.767	48.568	2.9472	0.35683	0.68084	181.97	2.2229	9.0388	0.0073799
107.00	5.4371	1.2648	0.79062	-95.209	-94.779	1.6062	0.48098	1.1944	693.16	-0.024614	151.32	0.10050	0.0078713	0.027450	36.430	28.772	48.579	2.9460	0.35703	0.68177	182.01	2.2189	9.0492	0.0073908
107.10	5.4748	1.2641	0.79107	-95.092	-94.659	1.6073	0.48076	1.1951	692.37	-0.024498	150.94	0.10037	0.0078488	0.027631	36.192	28.776	48.590	2.9448	0.35723	0.68271	182.04	2.2149	9.0595	0.0074017
107.20	5.5127	1.2634	0.79153	-94.974	-94.538	1.6084	0.48054	1.1958	691.58	-0.024381	150.57	0.10023	0.0078263	0.027813	35.955	28.780	48.601	2.9437	0.35743	0.68365	182.08	2.2110	9.0699	0.0074126
107.30	5.5508	1.2627	0.79198	-94.857	-94.417	1.6095	0.48032	1.1966	690.79	-0.024264	150.19	0.10009	0.0078038	0.027995	35.720	28.785	48.612	2.9425	0.35763	0.68460	182.12	2.2070	9.0803	0.0074236
107.40	5.5890	1.2619	0.79244	-94.739	-94.297	1.6106	0.48011	1.1973	690.00	-0.024146	149.81	0.099954	0.0077813	0.028179	35.488	28.789	48.623	2.9413	0.35784	0.68555	182.15	2.2030	9.0908	0.0074346
107.50	5.6275	1.2612	0.79289	-94.622	-94.176	1.6117	0.47989	1.1980	689.21	-0.024028	149.44	0.099817	0.0077589	0.028363	35.257	28.793	48.633	2.9402	0.35804	0.68651	182.19	2.1991	9.1012	0.0074456
107.60	5.6661	1.2605	0.79335	-94.504	-94.055	1.6128	0.47968	1.1987	688.42	-0.023909	149.07	0.099680	0.0077364	0.028549	35.028	28.797	48.644	2.9390	0.35824	0.68748	182.23	2.1951	9.1116	0.0074567
107.70	5.7050	1.2597	0.79381	-94.387	-93.934	1.6139	0.47946	1.1995	687.63	-0.023789	148.69	0.099543	0.0077140	0.028735	34.801	28.800	48.654	2.9378	0.35844	0.68844	182.26	2.1912	9.1221	0.0074678
107.80	5.7440	1.2590	0.79427	-94.269	-93.813	1.6150	0.47925	1.2002	686.83	-0.023669	148.32	0.099407	0.0076916	0.028922	34.575	28.804	48.664	2.9367	0.35865	0.68942	182.30	2.1873	9.1326	0.0074789
107.90	5.7832	1.2583	0.79473	-94.151	-93.691	1.6161	0.47903	1.2010	686.04	-0.023548	147.95	0.099270	0.0076691	0.029111	34.352	28.808	48.674	2.9355	0.35885	0.69040	182.33	2.1834	9.1431	0.0074901
108.00	5.8226	1.2576	0.79519	-94.033	-93.570	1.6172	0.47882	1.2017	685.24	-0.023427	147.58	0.099133	0.0076467	0.029300	34.130	28.811	48.684	2.9343	0.35906	0.69138	182.37	2.1795	9.1535	0.0075013
108.10	5.8622	1.2568	0.79565	-93.915	-93.449	1.6183	0.47861	1.2025	684.45	-0.023305	147.22	0.098996	0.0076244	0.029490	33.910	28.814	48.693	2.9332	0.35926	0.69237	182.40	2.1756	9.1641	0.0075125
108.20	5.9020	1.2561	0.79612	-93.797	-93.328	1.6194	0.47840	1.2032	683.65	-0.023183	146.85	0.098860	0.0076020	0.029681	33.691	28.818	48.702	2.9320	0.35947	0.69336	182.44	2.1717	9.1746	0.0075237
108.30	5.9420	1.2554	0.79658	-93.679	-93.206	1.6204	0.47819	1.2040	682.85	-0.023060	146.49	0.098723	0.0075796	0.029873	33.475	28.821	48.712	2.9309	0.35968	0.69436	182.47	2.1678	9.1851	0.0075350
108.40	5.9822	1.2546	0.79705	-93.561	-93.085	1.6215	0.47798	1.2047	682.06	-0.022936	146.12	0.098587	0.0075573	0.030066	33.260	28.824	48.721	2.9297	0.35989	0.69537	182.51	2.1640	9.1957	0.0075463
108.50	6.0226	1.2539	0.79752	-93.443	-92.963	1.6226	0.47777	1.2055	681.26	-0.022812	145.76	0.098450	0.0075349	0.030260	33.047	28.826	48.729	2.9286	0.36010	0.69638	182.54	2.1601	9.2062	0.0075577
108.60	6.0632	1.2532	0.79798	-93.325	-92.841	1.6237	0.47756	1.2063	680.46	-0.022687	145.40	0.098314	0.0075126	0.030455	32.835	28.829	48.738	2.9274	0.36030	0.69740	182.58	2.1563	9.2168	0.0075690
108.70	6.1040	1.2524	0.79845	-93.207	-92.719	1.6248	0.47735	1.2070	679.66	-0.022561	145.04	0.098177	0.0074903	0.030651	32.626	28.832	48.747	2.9263	0.36051	0.69842	182.61	2.1524	9.2274	0.0075805
108.80	6.1450	1.2517	0.79892	-93.088	-92.598	1.6259	0.47714	1.2078	678.86	-0.022435	144.68	0.098041	0.0074680	0.030848	32.417	28.834	48.755	2.9251	0.36073	0.69945	182.64	2.1486	9.2380	0.0075919
108.90	6.1862	1.2509	0.79939	-92.970	-92.476	1.6270	0.47693	1.2086	678.06	-0.022309	144.32	0.097905	0.0074458	0.031046	32.211	28.837	48.763	2.9240	0.36094	0.70048	182.68	2.1448	9.2486	0.0076034
